"fourth_conj_not_dep_presentStem"	""
"132"	"cooperio"	"cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"133"	"coperio"	"cover wholly/completely, cover up; overwhelm, bury deep; [lapidibus ~ => stone];"
"134"	"cosentio"	"join/share in sensation/feeling; be in agreement/harmony; be of the same mind;"
"135"	"cosentio"	"|act together; plot, conspire, combine; coincide; be in conjunction (planets);"
"136"	"cosentio"	"||agree, consent; fit/be consistent/in sympathy/unison with; favor; assent to;"
"137"	"cratio"	"bush-harrow;"
"138"	"crinio"	"deck/cover/provide with hair;"
"139"	"croccio"	"croak/caw (like a raven);"
"140"	"crocio"	"croak/caw (like a raven);"
"141"	"cuccubio"	"hoot; (of owls);"
"142"	"cucurrio"	"crow; (of cocks);"
"143"	"cunio"	"defecate;"
"144"	"custodio"	"guard/protect/preserve, watch over, keep safe; take heed/care, observe; restrain"
"145"	"decutio"	"flay, skin; deprive of skin;"
"146"	"definio"	"define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
"147"	"definio"	"|finish off/put an end/end the life; determine, settle; specify, sum up; assert;"
"148"	"deglutio"	"swallow down; overwhelm, abolish (L+S);"
"149"	"degluttio"	"swallow down; overwhelm, abolish (L+S);"
"150"	"degrunnio"	"give a performance of grunting; grunt hard (L+S);"
"151"	"dehaurio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"152"	"dehorio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"153"	"delenio"	"mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"154"	"delinio"	"mitigate, mollify, smooth down, soothe; soften, cajole; bewitch, charm, entice;"
"155"	"dementio"	"become deranged; lose one's reason; be mad, rave;"
"156"	"demolio"	"throw/cast off, remove; pull/tear down, demolish/destroy/lay waste; abolish;"
"157"	"demugio"	"fill with the sound of lowing/bellowing;"
"158"	"demuttio"	"speak very softly;"
"159"	"dentio"	"teethe, cut teeth; (of teeth) grow longer (for lack of food to eat);"
"160"	"deoperio"	"uncover, lay bare; open up; disclose (L+S);"
"161"	"deorio"	"drain off; skim off (L+S); (late) swallow, swallow down;"
"162"	"depolio"	"polish thoroughly; smooth, polish off (L+S);"
"163"	"depuio"	"beat thoroughly; strike, beat;"
"164"	"depuvio"	"beat thoroughly; strike, beat;"
"165"	"desaevio"	"rage, rave furiously; work off/vent one's rage;"
"166"	"desaevio"	"rage, rave furiously; work off/vent one's rage;"
"167"	"deservio"	"serve; devote oneself to (interest/job); be subject to; be of service/use to;"
"168"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"169"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"170"	"desilio"	"leap/jump down, dismount, alight; (chariot); jump headlong, venture heedlessly;"
"171"	"devenio"	"come to, arrive/turn up (at); go (to see/stay); reach; land; turn to; extend to;"
"172"	"devestio"	"undress (w/ABL); change/take off clothes; strip (off);"
"173"	"devincio"	"tie/bind up, hold/fix fast; subjugate; obligate/oblige/constrain; unite closely;"
"174"	"dicturio"	"long/want/wish to say/tell;"
"175"	"diffinio"	"define/bound/fix/limit/mark; restrict/confine; assign, ordain; lay down (rule);"
"176"	"digrunnio"	"grunt hard; give a performance of grunting;"
"177"	"dilargio"	"lavish; give away freely; give/bestow liberally/profusely/recklessly;"
"178"	"dimolio"	"throw/cast off, remove; pull/tear down, demolish/destroy/lay waste; abolish;"
"179"	"disconvenio"	"be inconsistent, be different;"
"180"	"discooperio"	"expose, bare, lay bare, uncover; disclose; put/take off, remove;"
"181"	"discoperio"	"expose, bare, lay bare, uncover; disclose; put/take off, remove;"
"182"	"disilio"	"leap from one place to another;"
"183"	"dispartio"	"divide (up); distribute; assign; separate into lots/groups;"
"184"	"dispertio"	"divide (up); distribute; assign; separate into lots/groups;"
"185"	"disseisio"	"disseise; dispossess; put out of seisin/possession (usu. wrongfully); oust;"
"186"	"dissentio"	"dissent, disagree; differ;"
"187"	"dissilio"	"fly/leap/burst apart; break up; be broken up; burst; split;"
"188"	"dormio"	"sleep, rest; be/fall asleep; behave as if asleep; be idle, do nothing;"
"189"	"ebullio"	"spout out; chatter about; burst/break/send out; [animam ~ => expire];"
"190"	"ebullio"	"|bubble; boil-up; produce in abundance;"
"191"	"edormio"	"sleep, sleep off;"
"192"	"effarcio"	"stuff full;"
"193"	"effercio"	"stuff full;"
"194"	"effutio"	"blurt out; blab, babble, prate, chatter; utter foolishly/irresponsibly;"
"195"	"effuttio"	"blurt out; blab, babble, prate, chatter; utter foolishly/irresponsibly;"
"196"	"elargio"	"bestow freely upon; give out, distribute (Ecc);"
"197"	"emollio"	"soften; enervate, mellow;"
"198"	"emunio"	"fortify; make roads through;"
"199"	"enutrio"	"nurture, rear (offspring);"
"200"	"erudio"	"educate, teach, instruct;"
"201"	"essendio"	"make real; endow with essence;"
"202"	"essentio"	"make real; endow with essence;"
"203"	"esurio"	"be hungry, hunger; want to eat, desire food; desire eagerly;"
"204"	"evenio"	"come out/about/forth; happen; turn out;"
"205"	"evenit"	"it happens, it turns out; come out, come forth;"
"206"	"exaperio"	"disclose; explain; disentangle;"
"207"	"exaudio"	"hear clearly; comply with, heed; hear from afar; understand;"
"208"	"excio"	"rouse; call out send for; summon; evoke;"
"209"	"exhaurio"	"draw out; drain, drink up, empty; exhaust, impoverish; remove; end;"
"210"	"exilio"	"spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"211"	"exilio"	"spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"212"	"exinanio"	"empty, remove contents of; strip; despoil; drain, dry, pour out; weaken/exhaust;"
"213"	"expedio"	"disengage, loose, set free; be expedient; procure, obtain, make ready;"
"214"	"expolio"	"polish; refine;"
"215"	"exsilio"	"spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"216"	"exsilio"	"spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"217"	"farcio"	"stuff, fill up/completely; gorge oneself; insert as stuffing, cram (into);"
"218"	"fastidio"	"disdain; be scornful; feel aversion to, be squeamish;"
"219"	"felio"	"roar/cry (expressing the cry of a leopard);"
"220"	"ferio"	"hit, strike; strike a bargain; kill, slay;"
"221"	"ferocio"	"rampage, act in a fierce/violent/savage manner;"
"222"	"finio"	"limit, end; finish; determine, define; mark out the boundaries;"
"223"	"friguttio"	"utter broken sounds; stutter, stammer;"
"224"	"fringulio"	"utter broken sounds; twitter/chirp (birds); stutter, stammer;"
"225"	"fringultio"	"utter broken sounds; twitter/chirp (birds); stutter, stammer;"
"226"	"fulcio"	"prop up, support;"
"227"	"gannio"	"whimper, snarl (of dogs); snarl (people), speak in ill natured/hostile manner;"
"228"	"garrio"	"chatter/prattle/jabber; talk rapidly; talk/write nonsense; (birds/instruments);"
"229"	"gestio"	"be eager, wish passionately; gesticulate, express strong feeling, exult;"
