"second_conj_not_dep_presentStem"	"second_conj_not_dep___meaning"
"273"	"exterreo"	"strike with terror, scare;"
"274"	"extorqueo"	"extort; tear away, twist away; twist/wrench out;"
"275"	"exurgeo"	"squeeze out;"
"276"	"faeteo"	"stink; have a bad/offensive smell/odor;"
"277"	"faveo"	"favor (w/DAT), befriend, support, back up;"
"278"	"ferveo"	"be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth;"
"279"	"ferveo"	"|be warm/aroused/inflamed/feverish, reek (w/blood); be active/busy/agitated;"
"280"	"feteo"	"stink; have a bad/offensive smell/odor;"
"281"	"fideiubeo"	"become surety; go bail; guarantee;"
"282"	"flacceo"	"be flabby; fail. flag;"
"283"	"flaveo"	"be yellow or gold-colored;"
"284"	"fleo"	"cry for; cry, weep;"
"285"	"floreo"	"flourish, blossom, be prosperous; be in one's prime;"
"286"	"foeteo"	"stink; have a bad/offensive smell/odor;"
"287"	"foveo"	"keep warm; favor, cherish, maintain, foster;"
"288"	"frendeo"	"gnash the teeth, grind up small;"
"289"	"frigeo"	"be cold; lack vigor; get cold reception; fail to win favor; fall flat (words);"
"290"	"frondeo"	"have/put forth leaves, be in leaf; be leafy/full of trees (place); (in spirit);"
"291"	"fulgeo"	"flash, shine; glow, gleam, glitter, shine forth, be bright;"
"292"	"fulgueo"	"glitter/flash/shine brightly, gleam; be brilliant/bright/resplendent; light up;"
"293"	"gaudeo"	"be glad, rejoice;"
"294"	"glubeo"	"shed its bark; (of a tree);"
"295"	"habeo"	"have, hold, consider, think, reason; manage, keep; spend/pass (time);"
"296"	"haereo"	"stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
"297"	"haveo"	"hail!; (only IMP/INF); greeting/leaving; [have/ave => hail, farewell];"
"298"	"haveo"	"|be eager/anxious (w/INF); desire, wish for, long after, crave;"
"299"	"hebeo"	"be blunt; be sluggish/inactive; grow dim/faint, die down; (of feelings);"
"300"	"hereo"	"stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
