"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"1142"	"dido"	"distribute, deal out, disseminate; spread, diffuse; spread abroad (L+S);"
"1143"	"diduco"	"divide, split, separate, sever; cause to come apart, break up; loosen (knot);"
"1144"	"diduco"	"|draw/lead/pull apart/aside; spread/open/space out; deploy/disperse (forces);"
"1145"	"diffido"	"distrust; despair; (w/DAT) lack confidence (in), despair (of); expect not;"
"1146"	"diffindo"	"divide (usu. on length); split/cut/break off/open; defer/put off; refute/deny;"
"1147"	"diffingo"	"reshape/remold, mold/forge into different shape; remodel, transform, make anew;"
"1148"	"diffluo"	"flow away; waste/wear/melt away; dissolve/disappear; pass out; ramble (speaker);"
"1149"	"diffugio"	"scatter, disperse, dispel; flee/run away in different/several directions;"
"1150"	"diffundo"	"diffuse; spread/pour out/widely; bottle/draw off; squander, distribute lavishly;"
"1151"	"diffundo"	"|expand/enlarge; spread/extend over area/time; relax/cheer up/free of restraint;"
"1152"	"diffutuo"	"indulge in promiscuous sexual intercourse with (woman); copulate freely (rude);"
"1153"	"digero"	"scatter/disperse; carry/move away; distribute/disseminate; divide off, separate;"
"1154"	"digero"	"|lay/set out; plant/spread/branch out; arrange, organize, classify; enumerate;"
"1155"	"digero"	"||dissolve, dissipate morbid matter; exercise (for health); consider maturely;"
"1156"	"dignosco"	"discern/distinguish/separate, recognize as distinct; make distinction;"
"1157"	"dijungo"	"unyoke; disunite, sever, divide, separate, part, estrange; put asunder (Ecc);"
"1158"	"dilibuo"	"besmear; anoint with a liquid;"
"1159"	"dilido"	"batter to pieces;"
"1160"	"diligo"	"love, hold dear; value/esteem/favor; have special regard for; (milder than amo);"
"1161"	"dilucesco"	"dawn, become/grow light; begin to shine (L+S); shine (PERF);"
"1162"	"diluo"	"wash (away/off); dissolve and carry away; purge/clear/empty (bowels); drench;"
"1163"	"diluo"	"|bathe/wet/moisten; temper/dilute/dissolve/weaken/thin out (w/water); dissipate;"
"1164"	"diluo"	"||rebut/refute, explain away, make clear, explain, clear up (charge); diminish;"
"1165"	"dimadesco"	"melt away;"
"1166"	"diminuo"	"shatter; break; dash to pieces (L+S); violate/outrage; lessen/diminish (Ecc);"
"1167"	"dimitto"	"send away/off; allow to go, let go/off; disband, discharge, dismiss (soldiers);"
"1168"	"dimitto"	"|dissolve (assembly); part with; put away; divorce; pay off, settle (debt);"
"1169"	"dimitto"	"||release, set free; allow to escape/slip away; shake off/scatter/shed;"
"1170"	"dimitto"	"|||discontinue, renounce, abandon/forsake, forgo, give up (activity); dispatch;"
"1171"	"dimminuo"	"shatter; break; dash to pieces (L+S); violate/outrage; lessen/diminish (Ecc);"
"1172"	"dinosco"	"discern/distinguish/separate, recognize as distinct; make distinction;"
"1173"	"dirado"	"scratch slightly;"
"1174"	"dirigo"	"arrange/set in line/direction; align; set in order; form up, fall in (army);"
"1175"	"dirigo"	"|mark/fix (boundary); demarcate; straighten (out); level; square (up);"
"1176"	"dirigo"	"||point; direct (word/attention); bring proceedings; end word w/inflection;"
"1177"	"dirigo"	"|||direct (course/steps), turn/steer/guide; propel/direct (missiles/blows);"
"1178"	"dirimo"	"pull/break/take apart; cleave; sort (votes); break up/dissolve (joint activity);"
"1179"	"dirimo"	"|divide; separate/cut off/remove; delay/interrupt temporally/put off/frustrate;"
"1180"	"dirimo"	"||cause to diverge;; draw a line/boundary; settle, impose decision on (dispute);"
"1181"	"diripio"	"pull/tear apart/to pieces/away; tear asunder/to shreds; pull out/off; divert;"
"1182"	"diripio"	"|grab; scramble for; snatch a share of; strive; run after, compete for (favor);"
"1183"	"diripio"	"||plunder, pillage, spoil, lay waste; seize and divide; steal/rob; distress;"
"1184"	"dirrumpo"	"cause to break apart/shatter/burst/split/rupture/disrupt; (PASS) burst/break;"
"1185"	"dirumpo"	"cause to break apart/shatter/burst/split/rupture/disrupt; (PASS) burst/break;"
"1186"	"diruo"	"demolish/wreck/destroy, pull down, raze to ground; overthrow; bankrupt (L+S);"
"1187"	"diruo"	"|have one's pay stopped/docked (of soldier); scatter, drive asunder (L+S);"
"1188"	"discedo"	"go/march off, depart, withdraw; scatter, dissipate; abandon; lay down (arms);"
"1189"	"discerno"	"see, discern; distinguish, separate;"
"1190"	"discerpo"	"pluck or tear in pieces; rend, mutilate, mangle;"
"1191"	"discido"	"cut in pieces;"
"1192"	"discindo"	"cut in two, divide;"
"1193"	"discludo"	"divide, separate, keep apart; shut off;"
"1194"	"disco"	"learn; hear, get to know, become acquainted with; acquire knowledge/skill of/in;"
"1195"	"discoquo"	"cook thoroughly;"
"1196"	"discribo"	"divide, assign, distribute;"
"1197"	"discumbo"	"sit (to eat), recline at table; lie down; go to bed;"
"1198"	"discurro"	"run off in different directions; run/dash around/about; wander; roam;"
"1199"	"discurro"	"run off in different directions; run/dash around/about; wander; roam;"
"1200"	"discutio"	"strike down; shatter, shake violently; dissipate, bring to naught; plead case;"
"1201"	"discuto"	"examine, inquire into; discuss;"
"1202"	"disdo"	"distribute, deal out, disseminate; spread, diffuse; spread abroad (L+S);"
"1203"	"disicio"	"break up; scatter; drive apart; separate into two halves, halve, divide;"
"1204"	"disicio"	"|ruin; destroy; rout; disperse; squander; frustrate; dispel, end;"
"1205"	"disjicio"	"break up; scatter; drive apart; separate into two halves, halve, divide;"
"1206"	"disjicio"	"|ruin; destroy; rout; disperse; squander; frustrate; dispel, end;"
"1207"	"disjungo"	"unyoke; disunite, sever, divide, separate, part, estrange; put asunder (Ecc);"
"1208"	"dispando"	"open/spread out; expatiate, walk/roam at large/will, roam freely;"
"1209"	"dispello"	"drive apart or away; disperse;"
"1210"	"dispendo"	"open/spread out; expatiate, walk/roam at large/will, roam freely;"
"1211"	"dispendo"	"|dispense, weigh out; pay out;"
"1212"	"disperdo"	"destroy/ruin utterly; ruin (property/fortunes/persons);"
"1213"	"disperdo"	"destroy/ruin utterly; ruin (property/fortunes/persons);"
"1214"	"dispergo"	"scatter (about), disperse;"
"1215"	"dispesco"	"separate; take from pasture;"
"1216"	"dispicio"	"look about (for), discover espy, consider;"
"1217"	"displodo"	"burst apart;"
"1218"	"dispono"	"dispose, place here and there, distribute; set/lay out; administer/manage/order;"
"1219"	"dispono"	"|appoint, post, station; allot, assign; arrange, ordain, prescribe; regulate;"
"1220"	"dispungo"	"check-off (accounts); examine; balance (accounts);"
"1221"	"disquiro"	"inquire into, investigate;"
"1222"	"disrumpo"	"cause to break apart/off, shatter/burst/split, disrupt/sever; (PASS) get broken;"
"1223"	"dissaepio"	"separate, divide;"
"1224"	"disseco"	"divide; penetrate through; open by force; dismember, dissect;"
"1225"	"dissero"	"unfasten, unbar; unlock;"
"1226"	"dissero"	"plant/sow at intervals; scatter/distribute, plant here/there; separate/part;"
"1227"	"dissero"	"arrange, dispose, set in order; discuss; examine; explain, set out in words;"
"1228"	"dissero"	"plant/sow at intervals; scatter/distribute, plant here/there; separate/part;"
"1229"	"dissicio"	"break up; scatter; drive apart; separate into two halves, halve, divide;"
"1230"	"dissicio"	"|ruin; destroy; rout; disperse; squander; frustrate; dispel, end;"
"1231"	"dissolvo"	"unloose; dissolve, destroy; melt; pay; refute; annul;"
"1232"	"dissuesco"	"forget, unlearn, become disaccustomed to; disaccustom (person);"
"1233"	"dissuo"	"unstitch, undo the stitches of; rip apart, sever;"
"1234"	"distabesco"	"waste away;"
"1235"	"distendo"	"stretch (apart); spread out; distend; extend; rack; detract, perplex;"
"1236"	"distenno"	"stretch (apart); spread out; distend; extend; rack; detract, perplex;"
"1237"	"distinguo"	"distinguish, separate, divide, part; adorn, decorate;"
"1238"	"distraho"	"draw/pull/tear apart, wrench, separate, (sub)divide; sell in parcels; distract;"
"1239"	"distribuo"	"divide, distribute, assign;"
"1240"	"distringo"	"stretch out/apart; detain; distract; pull in different directions;"
"1241"	"ditesco"	"grow rich;"
"1242"	"divello"	"alienate/estrange; compel (persons) to part company, force away; separate from;"
"1243"	"divello"	"|tear away/open/apart, tear to pieces/in two; break up, sunder/disrupt; divide;"
"1244"	"divello"	"alienate/estrange; compel (persons) to part company, force away; separate from;"
"1245"	"divello"	"|tear away/open/apart, tear to pieces/in two; break up, sunder/disrupt; divide;"
"1246"	"divello"	"alienate/estrange; compel (persons) to part company, force away; separate from;"
"1247"	"divello"	"|tear away/open/apart, tear to pieces/in two; break up, sunder/disrupt; divide;"
"1248"	"divendo"	"sell in small lots/retail; sell out;"
"1249"	"diverro"	"sweep away; sweep out (L+S);"
"1250"	"diverto"	"separate; divert, turn away/in; digress; oppose; divorce/leave marriage;"
"1251"	"divido"	"divide; separate, break up; share, distribute; distinguish;"
"1252"	"divorto"	"separate; divert, turn away/in; digress; oppose; divorce/leave marriage;"
"1253"	"duco"	"lead, command; think, consider, regard; prolong;"
"1254"	"dulcesco"	"become sweet;"
"1255"	"ebibo"	"drink up, drain; absorb; squander;"
"1256"	"ecfloresco"	"blossom forth; burst into flower; bloom (Ecc); flourish;"
"1257"	"ecfloro"	"blossom forth; burst into flower; bloom (Ecc); flourish;"
"1258"	"ecfugio"	"flee/escape; run/slip/keep away (from), eschew/avoid; baffle, escape notice;"
"1259"	"ecfundo"	"pour out/away/off; allow to drain; shower; volley (missiles); send/stream forth;"
"1260"	"ecfundo"	"|shed (blood/tears); discharge (vomit/urine), debouch, emit; flow out, overflow;"
"1261"	"ecfundo"	"||break out; bear/yield/bring forth; expend/use up; unseat, eject/drop/discard;"
"1262"	"ecfundo"	"|||stretch/spread out, extend; spread (sail); loosen/slacken/fling, give rein;"
"1263"	"edico"	"proclaim, declare; appoint;"
"1264"	"edisco"	"learn by heart; commit to memory; study; get to know;"
"1265"	"edissero"	"set forth in full, relate at length, dwell upon; unfold, explain, tell;"
"1266"	"edo"	"eat/consume/devour; eat away (fire/water/disease); destroy; spend money on food;"
"1267"	"edo"	"eat/consume/devour; eat away (fire/water/disease); destroy; spend money on food;"
"1268"	"edormisco"	"sleep away/through/off; sleep one's fill;"
"1269"	"educo"	"lead out; draw up; bring up; rear;"
"1270"	"effervesco"	"boil up, seethe; effervesce; become greatly excited;"
"1271"	"effervo"	"boil up or over; swarm forth;"
"1272"	"efficio"	"bring about; effect, execute, cause; accomplish; make, produce; prove;"
"1273"	"effingo"	"fashion, form, mold; represent, portray, depict; copy; wipe away;"
"1274"	"effligo"	"destroy;"
"1275"	"effloresco"	"blossom forth; burst into flower; bloom (Ecc); flourish;"
"1276"	"effloro"	"blossom forth; burst into flower; bloom (Ecc); flourish;"
"1277"	"effluo"	"flow out, flow forth; disappear, vanish, escape; be forgotten;"
"1278"	"effodio"	"dig out, excavate; gouge out;"
"1279"	"effringo"	"break open; smash; break in;"
"1280"	"effugio"	"flee/escape; run/slip/keep away (from), eschew/avoid; baffle, escape notice;"
"1281"	"effundo"	"pour out/away/off; allow to drain; shower; volley (missiles); send/stream forth;"
"1282"	"effundo"	"|shed (blood/tears); discharge (vomit/urine), debouch, emit; flow out, overflow;"
"1283"	"effundo"	"||break out; bear/yield/bring forth; expend/use up; unseat, eject/drop/discard;"
"1284"	"effundo"	"|||stretch/spread out, extend; spread (sail); loosen/slacken/fling, give rein;"
"1285"	"effutuo"	"wear out with sexual intercourse; squander on debauchery;"
"1286"	"egero"	"carry or bear out, discharge, utter;"
"1287"	"eicio"	"accomplish, perform, bring about, cause;"
"1288"	"eicio"	"cast/throw/fling/drive out/up, extract, expel, discharge, vomit; out (tongue);"
"1289"	"ejicio"	"cast/throw/fling/drive out/up, extract, expel, discharge, vomit; out (tongue);"
"1290"	"elanguesco"	"begin to lose one's vigor, droop, flag; slacken, relax;"
"1291"	"elicio"	"draw/pull out/forth, entice, elicit, coax;"
"1292"	"elido"	"strike or dash out; expel; shatter; crush out; strangle; destroy;"
"1293"	"eligo"	"pick out, choose;"
"1294"	"elingo"	"lick clean; lick up (Ecc);"
"1295"	"elucesco"	"begin to be light; shine forth (Erasmus);"
"1296"	"eludo"	"elude, escape from; parry; baffle; cheat; frustrate; mock, make fun of;"
"1297"	"eluo"	"wash clean; wash away, clear oneself (of);"
"1298"	"emarcesco"	"shrink/decay/wither/dwindle/pine away; disappear (L+S); [~ cor meum => fainted];"
"1299"	"emergo"	"rise up out of the water, emerge; escape; appear; arrive;"
"1300"	"emitto"	"hurl; let go; utter; send out; drive; force; cast; discharge; expel; publish;"
"1301"	"emo"	"buy; gain, acquire, obtain;"
"1302"	"emungo"	"wipe the nose; trick, swindle;"
"1303"	"enitesco"	"become bright, gleam; stand out;"
"1304"	"enubo"	"marry out of ones rank/outside one's community (women); marry and leave home;"
"1305"	"erado"	"scrape away/clean/smooth, pare; erase/delete; erase/strike (name in disgrace);"
"1306"	"ercisco"	"divide an inheritance;"
"1307"	"erigo"	"raise, erect, build; rouse, excite, stimulate;"
"1308"	"eripio"	"snatch away, take by force; rescue;"
"1309"	"erubesco"	"redden, blush, blush at; blush for shame, be ashamed of;"
"1310"	"erugo"	"disgorge noisily (food/drink);"
"1311"	"erumpo"	"burst/pop (abscess/boil); cause (swelling) to burst; become dislocated (limb);"
"1312"	"erumpo"	"|break out (of); burst/sally/spring/issue forth/out/on; sprout; erupt;"
"1313"	"eruo"	"pluck/dig/root up, overthrow, destroy; elicit;"
"1314"	"escendo"	"ascend, go up, mount;"
"1315"	"evado"	"evade, escape; avoid;"
"1316"	"evalesco"	"increase in strength;  prevail, have sufficient strength (to);"
"1317"	"evanesco"	"vanish/disappear; pass/fade/die (away/out); lapse; become weak/void/forgotten;"
"1318"	"evanno"	"winnow out; cast out (the chaff from fan leaving the grain);"
"1319"	"evanuo"	"become vain/empty/foolish;"
"1320"	"eveho"	"carry away, convey out; carry up; exalt; jut out, project;"
"1321"	"evello"	"pull/pluck/tear/root out;"
"1322"	"everro"	"sweep/clean out (room/litter); sweep (sea) with dragnet; net (by dragging);"
"1323"	"everto"	"overturn, turn upside down; overthrow, destroy, ruin;"
"1324"	"evilesco"	"become vile/worthless/despicable; cheapen;"
"1325"	"evincio"	"bind, bind up/around; wind around; wreathe round;"
"1326"	"evinco"	"overcome, conquer, subdue, overwhelm, defeat utterly; prevail, bring to pass;"
"1327"	"evolvo"	"roll out, unroll; disclose, unfold; extricate; pursue; explain;"
"1328"	"evomo"	"vomit out;"
"1329"	"exacerbesco"	"become irritated/exasperated/angry;"
"1330"	"exacuo"	"make sharp or pointed; stimulate;"
"1331"	"exardesco"	"flare/blaze up; break out; glow; rage; be provoked, enraged; be exasperated;"
"1332"	"exardo"	"kindle; inflame; break out;"
"1333"	"exaresco"	"dry up;"
"1334"	"excandesco"	"catch fire, burst into flame; blaze (w/light); flare up, burn w/rage/anger;"
"1335"	"excedo"	"pass, withdraw, exceed; go away/out/beyond; die;"
"1336"	"excello"	"be eminent/preeminent; excel;"
"1337"	"excerpo"	"pick out; select;"
"1338"	"excido"	"perish; disappear; escape, fall out; be deprived of; lose control of senses;"
"1339"	"excido"	"cut out/off/down; raze, destroy;"
"1340"	"excindo"	"demolish/destroy, raze to ground (town/building); exterminate/destroy (people);"
"1341"	"excipio"	"take out; remove; follow; receive; ward off, relieve;"
"1342"	"excludo"	"shut out, shut off; remove; exclude; hinder, prevent;"
"1343"	"excolo"	"improve; develop, honor;"
"1344"	"excoquo"	"boil; temper (by heat); boil away; dry up, parch;"
"1345"	"excresco"	"grow out or up; grow up; grow;"
"1346"	"excudo"	"strike out; forge; fashion; print (Erasmus);"
"1347"	"exculpo"	"carve out; erase; (see exsculpo; source Latham, but pre-dates medieval times);"
"1348"	"excurro"	"run out; make an excursion; sally; extend; project;"
"1349"	"excurro"	"run out; make an excursion; sally; extend; project;"
"1350"	"excutio"	"shake out or off; cast out; search, examine;"
"1351"	"executo"	"follow, go after/along; strive after; go on with/persist in; attain/arrive at;"
"1352"	"executo"	"|execute, carry out (duty); go through, rehearse; pursue; develop (topic);"
"1353"	"exedo"	"eat up, consume; hollow;"
"1354"	"exero"	"stretch forth; thrust out (of land); put out (plant); lay bare, uncover (body);"
"1355"	"exfugio"	"flee/escape; run/slip/keep away (from), eschew/avoid; baffle, escape notice;"
"1356"	"exhorresco"	"shudder; be terrified, tremble at;"
"1357"	"exigo"	"drive out, expel; finish; examine, weigh;"
"1358"	"eximo"	"remove/extract, take/lift out/off/away; banish, get rid of; free/save/release;"
"1359"	"existo"	"step forth, appear; arise; become; prove to be; be (Bee);"
"1360"	"exolesco"	"grow up, become adult; grow stale, deteriorate; die out/fade away; be forgotten;"
"1361"	"exolvo"	"unfasten/undo/loose; open (vein); thaw (ice); let flow (body discharge); solve;"
"1362"	"exolvo"	"|set free, release; end, do away with; pay; award; release; perform/discharge;"
"1363"	"expallesco"	"turn pale, turn very pale; go white as a ghost;"
"1364"	"expando"	"spread out, expand; expound;"
"1365"	"expando"	"spread out, expand; expound;"
"1366"	"expavesco"	"become frightened;"
"1367"	"expello"	"drive out, expel, banish; disown, reject;"
"1368"	"expendo"	"pay; pay out; weigh, judge; pay a penalty;"
"1369"	"expergefacio"	"awaken/wake up (from sleep); rouse/arouse (from inactivity); excite/stir up;"
"1370"	"expetesso"	"desire, wish for;"
"1371"	"expeto"	"ask for; desire; aspire to; demand; happen; fall on (person);"
"1372"	"expeto"	"ask for; desire; aspire to; demand; happen; fall on (person);"
"1373"	"explaudo"	"drive (actor) off stage by clapping; scare off; reject (claim); eject/cast out;"
"1374"	"explodo"	"drive (actor) off stage by clapping; scare off; reject (claim); eject/cast out;"
"1375"	"expono"	"set/put forth/out; abandon, expose; publish; explain, relate; disembark;"
"1376"	"exporrigo"	"stretch/spread out; smooth (brow); extend; expand, widen scope of (idea);"
"1377"	"exposco"	"request, ask for, demand; demand the surrender of;"
"1378"	"exprimo"	"squeeze, squeeze/press out; imitate, copy; portray; pronounce, express;"
"1379"	"expromo"	"bring/take out (from store), put out; put to use, put in play; disclose, reveal;"
"1380"	"expuo"	"spit out; eject; rid oneself of;"
"1381"	"exquiro"	"seek out, search for, hunt up; inquire into;"
"1382"	"exscindo"	"demolish/destroy, raze to ground (town/building); exterminate/destroy (people);"
"1383"	"exscribo"	"copy, write out;"
"1384"	"exsculpo"	"carve out; erase;"
"1385"	"exsecuto"	"follow, go after/along; strive after; go on with/persist in; attain/arrive at;"
"1386"	"exsecuto"	"|execute, carry out (duty); go through, rehearse; pursue; develop (topic);"
"1387"	"exsero"	"stretch forth; thrust out (of land); put out (plants); lay bare, uncover (body);"
"1388"	"exsisto"	"step out, come forth, emerge, appear, stand out, project; arise; come to light;"
"1389"	"exsolvo"	"unfasten/undo/loose; open (vein); thaw (ice); let flow (body discharge); solve;"
"1390"	"exsolvo"	"|set free, release; end, do away with; pay; award; release; perform/discharge;"
"1391"	"exspergo"	"sprinkle, scatter;"
"1392"	"exsplendesco"	"glitter; shine; become conspicuous;"
"1393"	"exspuo"	"spit out; eject; rid oneself of;"
"1394"	"exstinguo"	"put out, extinguish, quench; kill, destroy;"
"1395"	"exstruo"	"pile/build up, raise, build, construct;"
"1396"	"exsurgo"	"bestir oneself/take action; swell/rise/move/extend up/out/to higher moral level;"
"1397"	"exsurgo"	"|rise (to one's feet/from bed/moon/in revolt); stand/rear/get up; come to being;"
"1398"	"extendo"	"stretch/thrust out; make taut; extend/prolong/continue; enlarge/increase;"
"1399"	"extendo"	"|make even/straight/smooth; stretch out in death, (PASS) lie full length;"
"1400"	"extendo"	"stretch/thrust out; make taut; extend/prolong/continue; enlarge/increase;"
"1401"	"extendo"	"|make even/straight/smooth; stretch out in death, (PASS) lie full length;"
"1402"	"extergo"	"wipe; wipe dry; wipe away;"
"1403"	"extimesco"	"take fright, be alarmed, dread;"
"1404"	"extinguo"	"quench, extinguish; kill; destroy;"
"1405"	"extispicio"	"examination of entrails or sacrificial victims as means of divination;"
"1406"	"extollo"	"raise; lift up; extol, advance; erect (building);"
"1407"	"extraho"	"drag out; prolong; rescue, extract; remove;"
"1408"	"extrudo"	"thrust out; draw out;"
"1409"	"extruo"	"pile up; build up, raise;"
"1410"	"extundo"	"beat or strike out produce with effort;"
"1411"	"exuo"	"pull off; undress, take off; strip, deprive of; lay aside, cast off;"
"1412"	"exurgo"	"bestir oneself/take action; swell/rise/move/extend up/out/to higher moral level;"
"1413"	"exurgo"	"|rise (to one's feet/from bed/moon/in revolt); stand/rear/get up; come to being;"
"1414"	"exuro"	"burn (up/out/completely); destroy/devastate by fire; dry up, parch; scald;"
"1415"	"fabrefacio"	"make or fashion skillfully;"
"1416"	"facesso"	"do; perpetrate; go away;"
"1417"	"facio"	"make/build/construct/create/cause/do; have built/made; fashion; work (metal);"
"1418"	"facio"	"|act/take action/be active; (bowels); act/work (things), function, be effective;"
"1419"	"facio"	"||produce; produce by growth; bring forth (young); create, bring into existence;"
"1420"	"facio"	"|||compose/write; classify; provide; do/perform; commit crime; suppose/imagine;"
"1421"	"fallo"	"deceive; slip by; disappoint; be mistaken, beguile, drive away; fail; cheat;"
"1422"	"fatisco"	"gape, crack; crack open, part asunder; grow weak or exhausted, droop;"
"1423"	"favillesco"	"be reduced to ashes;"
"1424"	"fervefacio"	"heat; melt; boil; make (intensely) hot;"
"1425"	"fervesco"	"grow hot;"
"1426"	"fervo"	"be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth;"
"1427"	"fervo"	"|be warm/aroused/inflamed/feverish, reek (w/blood); be active/busy/agitated;"
"1428"	"fideicommitto"	"leave by will; bequeath;"
"1429"	"fido"	"trust (in), have confidence (in) (w/DAT or ABL);"
"1430"	"figo"	"fasten, fix; pierce, transfix; establish;"
"1431"	"findo"	"split, cleave, divide;"
"1432"	"fingo"	"mold, form, shape; create, invent; produce; imagine; compose; devise, contrive;"
"1433"	"fingo"	"|adapt, transform into; modify (appearance/character/behavior); groom;"
"1434"	"fingo"	"||make up (story/excuse); pretend, pose; forge, counterfeit; act insincerely;"
"1435"	"fingo"	"mold, form, shape; create, invent; produce; imagine; compose; devise, contrive;"
"1436"	"fingo"	"|adapt, transform into; modify (appearance/character/behavior); groom;"
"1437"	"fingo"	"||make up (story/excuse); pretend, pose; forge, counterfeit; act insincerely;"
"1438"	"flaccesco"	"begin to flag, become flabby;"
"1439"	"flavesco"	"become/turn yellow/gold;"
"1440"	"flecto"	"bend, curve, bow; turn, curl; persuade, prevail on, soften;"
"1441"	"fligo"	"beat or dash down;"
"1442"	"floccifacio"	"consider unimportant;"
"1443"	"floccipendo"	"take (little) account of, consider of no/any importance); (usu. negative);"
"1444"	"floresco"	"(begin to) blossom; increase in physical vigor or renown;"
"1445"	"fluo"	"flow, stream; emanate, proceed from; fall gradually;"
"1446"	"fodio"	"dig, dig out/up; stab;"
"1447"	"forisfacio"	"forfeit;"
"1448"	"fracesco"	"become soft/mushy; become mellow/tractable (L+S); spoil, rot, become rancid;"
"1449"	"frango"	"break, shatter, crush; dishearten, subdue, weaken; move, discourage;"
"1450"	"fremo"	"roar; growl; rage; murmur, clamor for;"
"1451"	"frendo"	"gnash the teeth, grind up small;"
"1452"	"frigesco"	"become cold, cool, lose heat; slaken, abate, fall off/flat;"
"1453"	"frigo"	"roast, parch; fry (L+S);"
"1454"	"frondesco"	"become leafy, shoot; put forth leaves;"
"1455"	"frunesco"	"enjoy; have the pleasure of;"
"1456"	"fugio"	"flee, fly, run away; avoid, shun; go into exile;"
"1457"	"fulgesco"	"flash; glitter;"
"1458"	"fulguo"	"glitter/flash/shine brightly, gleam; be brilliant/bright/resplendent; light up;"
"1459"	"fundo"	"pour, cast (metals); scatter, shed, rout;"
"1460"	"furo"	"rave, rage; be mad/furious; be wild;"
"1461"	"futuo"	"have sexual relations with (woman); (rude);"
"1462"	"gemo"	"moan, groan; lament (over); grieve that; give out a hollow sound (music, hit);"
"1463"	"generasco"	"come to birth; be generated/produced (L+S);"
"1464"	"geno"	"give birth to, bring forth, bear; beget; be born (PASSIVE);"
"1465"	"genuflecto"	"kneel (down); genuflect; bend the knee;"
"1466"	"gero"	"bear, carry, wear; carry on; manage, govern; (se gerere = to conduct oneself);"
"1467"	"gigno"	"give birth to, bring forth, bear; beget; be born (PASSIVE);"
"1468"	"glisco"	"swell; increase in power or violence;"
"1469"	"glubo"	"peel; strip the bark from; rob;"
"1470"	"gnosco"	"get to know; learn, find out; become cognizant of/acquainted/familiar with;"
"1471"	"gnosco"	"|examine, study, inspect; try (case); recognize, accept as valid/true; recall;"
"1472"	"grandesco"	"grow, increase in size or quantity;"
"1473"	"hebesco"	"grow blunt or feeble;"
"1474"	"herbesco"	"grow into blades or stalks;"
"1475"	"hercisco"	"divide an inheritance;"
"1476"	"hilaresco"	"be/become cheerful/joyful;"
"1477"	"hilarisco"	"be/become cheeerful/joyful;"
"1478"	"horresco"	"dread, become terrified; bristle up; begin to shake/tremble/shudder/shiver;"
"1479"	"icio"	"hit, strike; smite, stab, sting; [foedus ~ => conclude/make a treaty, league];"
"1480"	"ico"	"hit, strike; smite, stab, sting; [foedus ~ => conclude/make a treaty, league]);"
"1481"	"ignesco"	"take fire, kindle; become inflamed (with passion);"
"1482"	"ignosco"	"pardon, forgive (with DAT);"
"1483"	"illicio"	"allure, entice;"
"1484"	"illido"	"strike/beat/dash/push against/on; injure by crushing; drive (teeth into);"
"1485"	"illino"	"smear over; anoint;"
"1486"	"illucesco"	"begin to dawn;"
"1487"	"illudo"	"mock, ridicule, speak mockingly of; fool, dupe; use for sexual pleasure;"
"1488"	"imbibo"	"drink in, imbibe; assimilate; absorb into one's mind, conceive;"
"1489"	"imbito"	"enter;; go into;"
"1490"	"imbuo"	"wet, soak, dip; give initial instruction (in);"
"1491"	"immadesco"	"become wet or moist;"
"1492"	"immergo"	"dip; plunge; (se immergere (with in + acc.) = to plunge into, to insinuate;"
"1493"	"imminuo"	"diminish; impair; abbreviate (Col);"
"1494"	"immitto"	"send in/to/into/against; cause to go; insert; hurl/throw in; let go/in; allow;"
"1495"	"impello"	"drive/persuade/impel; urge on/action; push/thrust/strike against; overthrow;"
"1496"	"impendo"	"expend, spend; devote (to);"
"1497"	"impeto"	"attack, assail; rush upon (L+S); accuse;"
"1498"	"impingo"	"thrust, strike or dash against;"
"1499"	"impluo"	"rain; rain upon;"
"1500"	"impono"	"impose, put upon; establish; inflict; assign/place in command; set;"
"1501"	"imprimo"	"impress, imprint; press upon; stamp;"
"1502"	"inalbesco"	"become pale;"
"1503"	"inamaresco"	"become bitter/distasteful;;"
"1504"	"inardesco"	"kindle, take fire; become glowing;"
"1505"	"inbibo"	"drink in, imbibe; assimilate; absorb into one's mind, conceive;"
"1506"	"inbito"	"enter;; go into;"
"1507"	"incalesco"	"grow hot; become heated;"
"1508"	"incandesco"	"grow warm, be heated, glow, become red-hot;"
"1509"	"incanesco"	"turn gray or hoary;"
"1510"	"incedo"	"advance, march; approach; step, walk, march along;"
"1511"	"incendo"	"set on fire; set fire to, kindle, burn; cause to flame/burn; keep fire burning;"
"1512"	"incendo"	"|scorch; make fiery hot (fever/thirst); light up; cause to glow; intensify;"
"1513"	"incendo"	"||inspire, fire, rouse, excite, inflame; provoke, incense, aggravate;"
"1514"	"incerno"	"sift; scatter with sieve;"
"1515"	"incesso"	"assault, attack; reproach, abuse;"
"1516"	"incido"	"happen; fall into, fall in with, meet; fall upon, assail;"
"1517"	"incido"	"|cut into, cut open; inscribe, engrave inscription; break off;"
"1518"	"incingo"	"gird (with); wrap (tightly) round (with);"
"1519"	"incino"	"sing;"
"1520"	"incipio"	"begin; start, undertake;"
"1521"	"incipisso"	"begin; (archaic form of incipio);"
"1522"	"includo"	"shut up/in, imprison, enclose; include;"
"1523"	"incolo"	"live, dwell/reside (in); inhabit; sojourn;"
"1524"	"incoquo"	"boil in or down; boil;"
"1525"	"increbresco"	"become stronger or more intense; spread;"
"1526"	"incresco"	"grow (in or upon); grow, swell, increase, be augmented; be swollen;"
