agger	heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;
agglomer	gather into a body, mass together, join forces; pile up in masses; agglomerate;
agglutin	glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;
aggrav	aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;
aggreg	collect, include, group, implicate; (cause to) flock/join together, attach;
aggubern	steer (one's course);
agin	move heaven and earth, do one's best by hook or crook;
agit	stir/drive/shake/move about; revolve; live; control, ride; consider, pursue;
agnomin	give/honor with a nickname/additional name denoting achievement/characteristic;
agoni	struggle/fight (against); strive unto death (Vulgate Sirach 4:33);
agoniz	dispute; struggle/fight (against);
alb	make white;
allabor	make a special effort; take trouble to;
allacrim	shed tears, cry, weep (at or as an accompaniment to something);
allatr	bark at; rail at; rage, roar (sea);
allaud	praise, commend;
allav	flow up to (water), wash;
allect	entice, allure, encourage, invite;
alleg	depute/send as agent, commission; put up, suborn; urge/plea, lay before; allege;
allegoriz	allegorize, speak in allegories;
allevi	lighten, make light; deal lightly/leniently with; raise up, relieve;
allev	lift/raise/heap/pile up, exalt; alleviate/diminish/weaken; comfort/console/cheer
allev	|smooth, smooth off, make smooth; polish; depilate;
allig	bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;
alloc	stow; hire; let;
alludi	play/frolic (with);
altern	do by turns, vary; alternate, waver, ebb and flow; bear/crop in alternate years;
alt	raise, make high, elevate;
amand	send away, dismiss, banish; regulate;
ambul	walk, take a walk, go on foot; travel, march; go about, gad; parade, strut;
ament	fit with a throwing strap; give impetus with a throwing strap; speed on;
amerci	fine, penalize;
amic	propitiate, make friendly to oneself;
amigr	go away, remove;
ammatur	hasten (an occurrence); bring to maturity, mature, ripen;
amment	fit with a throwing strap; give impetus with a throwing strap; speed on;
amme	go to, approach;
ammigr	go and live with; go to a place; come to; be added to;
amministr	administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;
ammulc	stroke;
ammutil	cut/clip close; shave; fleece, cheat, defraud;
am	love, like; fall in love with; be fond of; have a tendency to;
amoen	make pleasant (places); please, delight;
amplific	enlarge, extend, increase; develop; magnify, amplify; praise loudly, exalt;
ampli	enlarge, augment, intensify, widen; ennoble, glorify; postpone, adjourn;
ampl	enlarge, extend, increase; develop; magnify, amplify; praise, exalt, glorify;
amptru	execute a figure/movement (by leader of ceremonial dance);
amput	lop/cut off, prune, shorten; amputate; eradicate, exclude, take away; castrate;
amtru	dance around (at Salian religious festivals);
amussit	make according to ruler/accurately/exactly/nicely;
amyl	mix with starch;
analyz	analyze;
anathematiz	anathemize, put under ban; curse; detest;
anathem	anathematize, anathemize, put under ban; curse; detest;
ancl	serve (wine); bring as a servant; have the care of (L+S);
ancul	serve (wine); bring as a servant; have the care of (L+S);
andru	run back; (dance around at Salian religious festivals);
angari	press, requisition, commandeer; exact villeinage; compel, constrain (eccl.);
angori	compel; force;
angul	make angular/cornered;
