"","","secondColumnOut"
"354","isset","2nd pluperfect subjunctive active 3rdPerson singular"
"355","issemus","2nd pluperfect subjunctive active 1stPerson plural"
"356","issetis","2nd pluperfect subjunctive active 2ndPerson plural"
"357","issent","2nd pluperfect subjunctive active 3rdPerson plural"
"358","i","3rd perfect indicative active 1stPerson singular"
"359","isti","3rd perfect indicative active 2ndPerson singular"
"360","it","3rd perfect indicative active 3rdPerson singular"
"361","imus","3rd perfect indicative active 1stPerson plural"
"362","istis","3rd perfect indicative active 2ndPerson plural"
"363","erunt","3rd perfect indicative active 3rdPerson plural"
"364","eram","3rd pluperfect indicative active 1stPerson singular"
"365","eras","3rd pluperfect indicative active 2ndPerson singular"
"366","erat","3rd pluperfect indicative active 3rdPerson singular"
"367","eramus","3rd pluperfect indicative active 1stPerson plural"
"368","eratis","3rd pluperfect indicative active 2ndPerson plural"
"369","erant","3rd pluperfect indicative active 3rdPerson plural"
"370","ero","3rd future perfect indicative active 1stPerson singular"
"371","eris","3rd future perfect indicative active 2ndPerson singular"
"372","erit","3rd future perfect indicative active 3rdPerson singular"
"373","erimus","3rd future perfect indicative active 1stPerson plural"
"374","eritis","3rd future perfect indicative active 2ndPerson plural"
"375","erint","3rd future perfect indicative active 3rdPerson plural"
"376","erim","3rd perfect subjunctive active 1stPerson singular"
"377","eris","3rd perfect subjunctive active 2ndPerson singular"
"378","erit","3rd perfect subjunctive active 3rdPerson singular"
"379","erimus","3rd perfect subjunctive active 1stPerson plural"
"380","eritis","3rd perfect subjunctive active 2ndPerson plural"
"381","erint","3rd perfect subjunctive active 3rdPerson plural"
"382","issem","3rd pluperfect subjunctive active 1stPerson singular"
"383","isses","3rd pluperfect subjunctive active 2ndPerson singular"
"384","isset","3rd pluperfect subjunctive active 3rdPerson singular"
"385","issemus","3rd pluperfect subjunctive active 1stPerson plural"
"386","issetis","3rd pluperfect subjunctive active 2ndPerson plural"
"387","issent","3rd pluperfect subjunctive active 3rdPerson plural"
"388","i","4th perfect indicative active 1stPerson singular"
"389","isti","4th perfect indicative active 2ndPerson singular"
"390","it","4th perfect indicative active 3rdPerson singular"
"391","imus","4th perfect indicative active 1stPerson plural"
