"","V1","V2"
"1458","deturbat","upset/topple, bring tumbling down; dislodge; strike/beat to ground;"
"1459","deturbat","|drive/pull/knock/cast/thrust/strike down/off; deprive of;"
"1460","deturpat","disfigure, ruin appearance of; discredit; disparage; defile;"
"1461","devastat","devastate, lay waste (territory/people); ravage; slaughter;"
"1462","devectat","carry away;"
"1463","develat","uncover; unveil (L+S);"
"1464","devenustat","disfigure; mar the beauty of; deform (L+S);"
"1465","deverberat","thrash; flog/whip soundly; cudgel/beat soundly (L+S);"
"1466","deversitat","turn aside and linger (over); put up at an inn (L+S); dwell upon;"
"1467","devexat","drag about; pull this way and that; harass/harry/vex/trouble;"
"1468","devexat","|ravage/plunder; tear/rend/pull/rip apart/asunder, destroy (L+S);"
"1469","deviat","detour; stray; depart;"
"1470","devirginat","deflower, deprive of virginity; violate, ravish; grow up, quit youth (PASS L+S);"
"1471","devitat","avoid; get/keep clear of; shun (L+S); go out of the way of; dodge/duck/evade;"
"1472","devocat","call down (from above); call away/off, summon/divert (from activity/situation);"
"1473","devocat","|call; sue; impede; disavow, deny;"
"1474","devolat","fly/swoop/drop down (on to); hurry/rush/hasten/fly down/away (to);"
"1475","devorat","devour, consume; swallow, gulp down; engulf/ingulf, absorb, drink in;"
"1476","devorat","|use up; waste; swallow, endure, put up with; repress/suppress, check (emotion);"
"1477","devotat","bewitch; put a spell on; curse;"
"1478","dibalat","blab; bleat out;"
"1479","dibucat","trumpet forth; trumpet in different direction;"
"1480","dicat","dedicate/consecrate; deify; devote; attach to another state; assign; show;"
"1481","dictitat","repeat; persist in saying, keep on saying/speaking of; say/plead/call often;"
"1482","dictat","dictate (for writing/speaking); compose; draw up; order/prescribe; fix (survey);"
"1483","dictat","|say/declare/assert repeatedly/habitually/often/frequently; reiterate; recite;"
"1484","didasculat","teach, instruct"
"1485","diffamat","defame, slander; spread news of, publish abroad/widely, publish/divulge (L+S);"
"1486","diffibulat","unfasten; unbuckle (L+S); unclasp;"
"1487","difflagitat","importune, pester; dun, press, beset;"
"1488","difflat","blow away, scatter/disperse by blowing; blow apart (L+S);"
"1489","diffluviat","divide and spread out; split (L+S); divide/branch (into two streams);"
"1490","diffract","shatter; break up/apart/in pieces;"
"1491","diffugat","scatter, disperse, dispel; put to flight; rout;"
"1492","diffulgurat","scatter lightning/thunderbolts around/abroad;"
"1493","diffulminat","scatter (as) with a thunderbolt/lightning;"
"1494","diffumigat","fumigate;"
"1495","diffunditat","dissipate; squander, waste, throw away;"
"1496","difract","shatter; break up/apart/in pieces;"
"1497","dignat","deem/consider/think worthy/becoming/deserving/fit (to); deign, condescend;"
"1498","dignorat","distinguish; know apart, make distinction, separate;"
"1499","dijudicat","decide, settle (conflict); adjudicate/judge; distinguish (between), discern;"
"1500","dijugat","separate;"
"1501","dilacerat","tear to pieces, tear in pieces; tear apart;"
"1502","dilaminat","split in two (?);"
"1503","dilaniat","tear to pieces; shred; rend/pull asunder;"
"1504","dilapidat","bring (edifice) to partial ruin; pelt/shower w/stones;"
"1505","dilapidat","|squander; throw away; scatter like stones; consume; destroy;"
"1506","dilatat","widen/broaden, expand/enlarge/extend/spread/dilate; prolong; flatten/roll out;"
"1507","dilatat","|exaggerate, magnify; fill out; express more fully; pronounce more broadly;"
"1508","dilaudat","praise expansively/widly/highly/much/in all respects; be grateful to (Ecc);"
"1509","dilaxat","stretch apart;"
"1510","diligat","bind fast, tie (up), fasten; make fast by tying; bandage; tie (bandage);"
"1511","dilinat","disturb, harass; torment mentally;"
"1512","diloricat","tear/pull apart/open; (of garment covering breast);"
"1513","diluculatus e","it dawns, it becomes/grows light;"
"1514","diluviat","flood, inundate; deluge (L+S);"
"1515","dimanat","run/flow down; percolate; flow different ways (L+S); descend; descend from;"
"1516","dimetat","measure out; mark out; fix the limits;"
"1517","dimicat","fight, battle; struggle/contend/strive; brandish weapons; be in conflict/peril;"
"1518","dimicat","fight, battle; struggle/contend/strive; brandish weapons; be in conflict/peril;"
"1519","dimidiat","halve, divide in half/two; divide into two equal parts (L+S);"
"1520","dinotat","mark with a distinctive label;"
"1521","dinumerat","count, calculate (number of); enumerate; reckon; count/pay out (money);"
"1522","dirarat","thin out (vegetation); chop, hoe;;"
"1523","dirationat","deraign; establish title; vindicate; decide/adjudge; [~ me => clear oneself];"
"1524","dirivat","draw/lead off (river/fluid), divert/turn aside; derive/draw on; form derivative;"
"1525","disamat","love dearly;"
"1526","discapedinat","separate (the hands so as to use independently); hold hands apart (L+S);"
"1527","disceptat","dispute; debate; arbitrate;"
"1528","discordat","be at variance, quarrel; be different;"
"1529","discrepatus e","it is undecided/disputed/a matter of dispute; there is a difference of opinion;"
"1530","discrepatus e","it is undecided/disputed/a matter of dispute; there is a difference of opinion;"
"1531","discrepat","disagree/differ/vary; have differences/discrepancies/difference of opinion;"
"1532","discrepat","|be out of tune; differ in sound; be out of harmony/inconsistent with;"
"1533","discrepat","disagree/differ/vary; have differences/discrepancies/difference of opinion;"
"1534","discrepat","|be out of tune; differ in sound; be out of harmony/inconsistent with;"
"1535","discriminat","divide up, separate;"
"1536","discruciat","torture;"
"1537","disculciat","unshoe; remove the shoe from;"
"1538","disgregat","separate; divide; disperse, scatter, divide; rend asunder; break up;"
"1539","disjugat","separate;"
"1540","dismembrat","dismember; separate, break up; distribute;"
"1541","disparat","separate, divide;"
"1542","dispensat","manage; dispense, distribute; pay out; arrange;"
"1543","dispoliat","rob/plunder; despoil (of); strip, deprive of clothing/covering; (for flogging);"
"1544","disponsat","give in marriage; (desponso);"
"1545","disputat","discuss, debate, argue;"
"1546","disrarat","thin out (vegetation); chop, hoe;;"
"1547","disrationat","deraign; put into disorder; disarrange; be discharged from order (eccles.);"
"1548","dissecat","dissect;"
"1549","dissecat","cut apart; cut in pieces; dismember, dissect;"
"1550","disseminat","broadcast, disseminate;"
"1551","dissertat","discuss;"
"1552","dissicat","cut apart; cut in pieces; dismember, dissect;"
"1553","dissignat","mark; point/mark/trace out, outline/describe; indicate/designate/denote;"
"1554","dissignat","|earmark/choose; appoint, elect (magistrate); order/plan; scheme. perpetrate;"
"1555","dissilat","be torn apart;"
"1556","dissimulat","conceal, dissemble, disguise, hide; ignore;"
"1557","dissipat","scatter, disperse, dissipate, squander; destroy completely; circulate;"
"1558","dissociat","be/set at variance with, split into factions, separate, part;"
"1559","dissultat","fly or burst apart; bounce off;"
"1560","dissupat","scatter, squander; destroy completely; circulate; (alt. form of dissipo);"
"1561","disterminat","divide from, serve as boundary; divide up; mark off w/boundary; separate from;"
"1562","distillat","drip/trickle down; wet/sprinkle; distill; have dripping off; fall bit by bit;"
"1563","distimulat","goad hard/on; stimulate (L+S);"
"1564","disturbat","disturb, demolish, upset;"
"1565","ditat","enrich;"
"1566","dittat","repeat; declare;"
"1567","divaricat","stretch apart, spread out;"
"1568","diverberat","split; strike violently;"
"1569","diversificat","vary, be different; diversify;"
"1570","diversat","turn around; diversify;"
"1571","divexat","drag about; pull this way and that; harass/harry/vex/trouble;"
"1572","divexat","|ravage/plunder; tear/rend/pull/rip apart/asunder, destroy (L+S);"
"1573","divinat","divine; prophesy; guess;"
"1574","divulgat","publish, disseminate news of;"
"1575","dat","give; dedicate; sell; pay; grant/bestow/impart/offer/lend; devote; allow; make;"
"1576","dat","|surrender/give over; send to die; ascribe/attribute; give birth/produce; utter;"
"1577","dogmatizat","propound a dogma; dogmatize(Latham);"
"1578","dolat","hew/chop into shape, fashion/devise; inflict blows, batter/cudgel soundly, drub;"
"1579","dominat","be master/despot/in control, rule over, exercise sovereignty; rule/dominate;"
"1580","domitat","tame, break in;"
"1581","domit","subdue, master, tame; conquer;"
"1582","donat","present, grant; forgive; give (gifts), bestow;"
"1583","dormitat","feel sleepy, drowsy; do nothing;"
"1584","dotat","provide with a dowry, endow;"
"1585","dubitat","doubt; deliberate; hesitate (over); be uncertain/irresolute;"
"1586","ductat","lead;"
"1587","duellat","duel;"
"1588","dulcat","sweeten;"
"1589","dulcorat","sweeten;"
"1590","duplicat","double, bend double; duplicate; enlarge;"
"1591","durat","harden, make hard; become hard/stern; bear, last, remain, continue; endure;"
"1592","ebullat","spout out; chatter about; burst/break/send out; [animam ~ => expire];"
"1593","ebullat","|bubble; boil-up; produce in abundance;"
"1594","ecfat","demarcate in words areas/boundaries for augury signs might be observed (PASS);"
"1595","edissertat","relate, expound; explain;"
"1596","edit","eject/emit; put/give forth (buds); beget; bear (fruit); display/evince/exhibit;"
"1597","edit","|utter solemnly; pronounce/decree (oracle); deliver (message); issue (command);"
"1598","edit","||publish; disclose, tell, relate, make known; declare, make formal statement;"
"1599","edit","|||cause; see birth of; be birthplace/breeding ground of; debouch (river PASS);"
"1600","edit","||||bring forth,  produce/yield (crops), give birth to (often PASS PERF VPAR);"
"1601","edit","|||||notify of suit; nominate for jury; appoint/set (a time); bring witnesses;"
"1602","edit","||||||present (documents for inspection; put on (play); hold (banquet); uplift;"
"1603","edolat","hack, hew, hew out; form by hacking; plane (Ecc);"
"1604","edomit","subdue/tame thoroughly/completely, subjugate/conquer/vanquish;"
"1605","edomit","|master (vices); overcome (difficulties); bring (land /plants)under cultivation;"
"1606","educat","bring up; train; educate; rear;"
"1607","edulcorat","sweeten;"
"1608","effeminat","weaken, enervate, make effeminate, emasculate, unman;"
"1609","efferat","make wild/savage/barbaric; brutalize; exasperate;"
"1610","effigiat","form; fashion; portray;"
"1611","efflagitat","request, demand, insist, ask urgently;"
"1612","efflat","blow or breathe out; breathe one's last;"
"1613","effat","demarcate in words areas/boundaries for augury signs might be observed (PASS);"
"1614","efformat","form, shape, fashion;"
"1615","effrenat","unbridle, let loose; remove or slacken the reins of a horse;"
"1616","effugat","drive away (from); frighten off, deter; drive/send into exile;"
"1617","eierat","refuse upon/reject by oath; abjure, resign, abdicate, renounce;"
"1618","ejectat","cast out;"
"1619","ejulat","wail, lament;"
"1620","eiurat","abjure; resign; reject on oath (of a judge); forswear, disown;"
"1621","elaborat","take pains, exert oneself; bestow care on;"
"1622","electrificat","electrify;"
"1623","electrisat","charge;"
"1624","elevat","lift up, raise; alleviate; lessen; make light of;"
"1625","eliminat","carry out of doors; [w/dicta => to blab];"
"1626","elimat","make/remove by filing; polish w/file; file off; produce/write w/care/polish;"
"1627","eliquat","refine (an industrial product);"
"1628","elonginquat","remove;"
"1629","elongat","withdraw, depart; remove; keep aloof;"
"1630","elucidat","light; enlighten;"
"1631","elucubrat","compose at night; burn the midnight oil over, spend the night working;"
"1632","emaculat","cleanse of stains/spots, make clean; heal; correct/clear from faults (Erasmus);"
"1633","emancipat","emancipate (son from his father's authority); alienate; make subservient;"
"1634","emanat","flow out; arise, emanate from, become known;"
"1635","emendicat","beg, solicit, obtain by begging;"
"1636","emendat","correct, emend, repair; improve, free from errors;"
"1637","emicat","leap/dash/bolt/jump/spurt/burst/break/shine out; spring/dart/shoot forth/up;"
"1638","emicat","|appear suddenly/quickly; make sudden movement up/out; give a jump; stand out;"
"1639","emigrat","move out; depart;"
"1640","emplastrat","bud (trees);"
"1641","emundat","clean thoroughly, free of dirt/impurity; make quite clean (L+S); cleanse/purify;"
"1642","enarrat","describe; explain/relate in detail;"
"1643","enatat","escape by swimming;"
"1644","enavigat","sail forth/away, put out to sea; sail clear (of obstacles) sail across; swim;"
"1645","encaeniat","consecrate; put on something new;"
"1646","enecat","kill/slay; deprive of life; kill off; exhaust/wear out, plague/torture to death;"
"1647","enect","kill/slay; deprive of life; kill off; exhaust/wear out, plague/torture to death;"
"1648","enervat","weaken, enervate; make effeminate; deprive of vigor; cut/remove sinews from;"
"1649","enicat","kill/slay; deprive of life; kill off; exhaust/wear out, plague/torture to death;"
"1650","enict","kill/slay; deprive of life; kill off; exhaust/wear out, plague/torture to death;"
"1651","enat","swim out;"
"1652","enodat","make clear;"
"1653","enubilat","make clear;"
"1654","enucleat","take out the kernel/nut, shell; explain in detail;"
"1655","enumerat","count up, pay out; specify, enumerate;"
"1656","enuntiat","reveal; say; disclose; report; speak out, express, declare;"
"1657","enuntiat","reveal/divulge/make known/disclose; speak out, express/state/assert; articulate;"
"1658","et","go, walk; march, advance; pass; flow; pass (time); ride; be in the middle;"
"1659","epitomat","abridge, epitomize;"
"1660","epotat","drink down/up, quaff, drain; absorb; swallow/suck up; empty (vessel); engulf;"
"1661","epot","drink down/up, quaff, drain; absorb; swallow/suck up; empty (vessel); engulf;"
"1662","equitat","ride (horseback);"
"1663","eradicat","root out,eradicate;"
"1664","erogat","pay out, expend;"
"1665","errat","wander, go astray; make a mistake, err; vacillate;"
"1666","eructat","bring up noisily; discharge violently;"
"1667","eruderat","clear from rubbish;"
"1668","erugat","take wrinkles/creases from;"
"1669","essentificat","make real; endow with essence;"
"1670","essoniat","essoin, excuse court absence;"
"1671","estimat","value; estimate;"
"1672","evacuat","empty (vessel); purge, evacuate (bowels);"
"1673","evaginat","unsheathe;"
"1674","evangelizat","preach/declare/proclaim (the Gospel); evangelize, win to Gospel by preaching;"
"1675","evastat","devastate;"
"1676","eventilat","winnow thoroughly; fan away; fan (L+S); set in motion (air);"
"1677","everberat","beat violently;"
"1678","evigilat","be wakeful; watch throughout the night; devise or study with careful attention;"
"1679","evirat","deprive of virility; weaken;"
"1680","eviscerat","disembowel; eviscerate;"
"1681","evitat","shun, avoid;"
"1682","evocat","call forth; lure/entice out; summon, evoke;"
"1683","evolat","fly away, fly up/out/forth; rush out/forth;"
"1684","evulgat","make public, divulge;"
"1685","exacerbat","irritate/exasperate, enrage/provoke; aggravate/make worse; grieve, afflict;"
"1686","exaedificat","complete the building of, construct;"
"1687","exaequat","equalize, make equal; regard as equal; be equal (to);"
"1688","exaestuat","boil up; seethe, rage;"
"1689","exaggerat","heap up, accumulate; magnify;"
"1690","exagitat","drive out; stir up, disturb continually, harass; attack, scold, discuss;"
"1691","exaltat","exalt, elevate, raise; praise; deepen;"
"1692","examinat","weigh, examine, consider;"
"1693","exanimat","kill, deprive of life; scare, alarm greatly; tire, exhaust; be out of breath;"
"1694","exantlat","exhaust; endure; bar; suffer much from toil;"
"1695","exarmat","disarm, deprive of weapons/arms; weaken, deprive of military strength;"
"1696","exarmat","|dismantle/remove ship's tackle; deprive beasts of their natural weapons;"
"1697","exarat","plow or dig up; plow; note down (by scratching the wax on the tablets);"
"1698","exasperat","roughen; irritate;"
"1699","exatiat","satisfy, satiate; glut;"
"1700","exauctorat","release or dismiss from military service;"
"1701","excaecat","blind (completely), confuse/hide/obscure; dull/dim; block channel; de-eye plant;"
"1702","excalceat","remove the shoes from;"
"1703","excalciat","remove the shoes from;"
"1704","excardinat","excardinate; (transfer of cleric to another diocese/consecrated life);"
"1705","excarnificat","torture, punish; torment/torture mentally; hack/cut/tear to pieces (L+S);"
"1706","excavat","hollow/scoop out, make hollow; produce/make/form by excavation/hollowing out;"
"1707","exceptat","take out, take up; inhale, take (to oneself);"
"1708","excerebrat","brain, bash the head in; deprive of brains; make senseless; stupefy;"
"1709","excitat","wake up, stir up; cause; raise, erect; incite; excite, arouse;"
"1710","exclamat","exclaim, shout; cry out, call out;"
"1711","excogitat","think out; devise, invent, contrive;"
"1712","excommunicat","excommunicate; (exclude Catholic from communion w/faithful);"
"1713","excoriat","strip of skin/covering; flay, skin, strip;"
"1714","excruciat","torture; torment;"
"1715","excubit","sleep/lie in the open/out of doors; keep watch; be attentive;"
"1716","exculcat","trample down;"
"1717","excusat","excuse/justify/explain; make excuse for/plead as excuse; allege; absolve/exempt;"
"1718","excussat","excuse/justify/explain; make excuse for/plead as excuse; allege; absolve/exempt;"
"1719","exect","cut out/off; remove/make (hole) by cutting; cut, make cut in; castrate;"
"1720","exemplat","adduce/serve as example/model/pattern; form after a pattern;"
"1721","exenterat","disembowel;"
"1722","exercitat","practice, exercise, train hard, keep at work;"
"1723","exerrat","wander off (from one's course);"
"1724","exertat","stretch out; uncover;"
"1725","exhalat","breathe out; evaporate; die;"
"1726","exhereditat","disinherit;"
"1727","exheredat","disinherit;"
"1728","exhilarat","gladden, cheer; brighten, spruce up, enhance appearance;"
"1729","exhonorat","dishonor; despise;"
"1730","exhortat","encourage;"
"1731","exiccat","dry up; empty (vessel);"
"1732","exict","cut out/off; remove/make (hole) by cutting; cut, make cut in; castrate;"
"1733","existimat","value/esteem; form/hold opinion/view; think/suppose; estimate; judge/consider;"
"1734","existumat","value/esteem; form/hold opinion/view; think/suppose; estimate; judge/consider;"
"1735","exoculat","blind, put out/deprive of eyes/sight;"
"1736","exonerat","unload, disburden, discharge;"
"1737","exoptat","long for;"
"1738","exorbitat","derail;"
"1739","exorcizat","exorcise;"
"1740","exornat","furnish with, adorn, embellish;"
"1741","exorat","persuade, obtain/win over by entreaty, prevail upon; beg, plead, entreat;"
"1742","exosculat","kiss;"
"1743","exossat","bone/de-bone, take out the bones, filet;"
"1744","expalpat","coax out;"
"1745","expectat","await, expect; anticipate; hope for;"
"1746","expectorat","banish from mind;"
"1747","expilat","plunder, rob, despoil;"
"1748","expiat","expiate, atone for; avert by expiatory rites;"
"1749","expirat","breathe out; exhale; expire; die; cease;"
"1750","explanat","explain;"
"1751","explantat","uproot, pull up/out/off (plant/shoot); cast out (Ecc);"
"1752","explicat","unfold, extend; set forth, display, exhibit, explain, disentangle;"
"1753","explicit","unfold, extend; set forth, explain;"
"1754","explorat","search out, explore; test, try out; reconnoiter, investigate;"
"1755","expoliat","plunder;"
"1756","exportat","export, carry out;"
"1757","expostulat","demand, call for, remonstrate, complain about;"
"1758","exprobrat","reproach, upbraid, reprove; bring up as reproach (against person DAT);"
"1759","expugnat","assault, storm; conquer, plunder; accomplish; persuade;"
"1760","expurgat","cleanse, purify; exculpate;"
"1761","exsatiat","satisfy, satiate; glut;"
"1762","exsaturat","satisfy, sate, glut;"
"1763","exscreat","cough out/up;"
"1764","exsect","cut out/off; remove/make (hole) by cutting; cut, make cut in; castrate;"
"1765","exsertat","stretch out; uncover;"
"1766","exsiccat","dry up; empty (vessel);"
"1767","exsict","cut out/off; remove/make (hole) by cutting; cut, make cut in; castrate;"
"1768","exspectat","lookout for, await; expect, anticipate, hope for;"
"1769","exspirat","breathe out, exhale; expire; cease, die;"
"1770","exspoliat","pillage, rob, plunder;"
"1771","exsternat","terrify greatly, frighten; madden;"
"1772","exstimulat","goad; stimulate;"
"1773","exstirpat","root out, extirpate; pull/pluck out/up by roots; eradicate root and branch;"
"1774","exsudat","exude; sweat out;"
"1775","exsufflat","blow at/upon; blow away;"
"1776","exsuflat","blow at/upon; blow away; (exsufflo with 1 f - Whitaker);"
"1777","exsulat","be exile, live in exile; be banished; be a stranger;"
"1778","exsultat","rejoice; boast; exalt; jump about, let oneself go;"
"1779","exsuperat","excel; overtop; surpass; overpower;"
"1780","exsurdat","deafen; make dull or blunt (taste);"
"1781","exsuscitat","awaken; kindle; stir up, excite;"
"1782","extenterat","cut open;"
"1783","extenuat","make thin; diminish;"
"1784","exterminat","banish, expel; dismiss;"
"1785","externat","terrify greatly, frighten; madden;"
"1786","extimulat","goad; stimulate;"
"1787","extricat","disentangle, extricate, free;"
"1788","exturbat","drive away, put away a wife;"
"1789","exuberat","surge or gush up; be abundant, be fruitful;"
"1790","exudat","exude; sweat out;"
"1791","exulat","be exile, live in exile; be banished; be a stranger;"
"1792","exultat","jump about; let oneself go; exult;"
"1793","exululat","invoke with howls;"
"1794","exundat","gush forth; overflow with;"
"1795","exuperat","excel; overtop; surpass; overpower;"
"1796","fabricat","build/construct/fashion/forge/shape; train; get ready (meal); invent/devise;"
"1797","fabulat","talk (familiarly), chat, converse; invent a story, make up a fable;"
"1798","factitat","do frequently, practice;"
"1799","faenerat","lend money at interest; make interest/profit; invest/finance/supply; borrow;"
"1800","falsificat","falsify;"
"1801","falsat","falsify;"
"1802","fanat","dedicate; consecrate;"
"1803","fascinat","cast a spell on, bewitch;"
"1804","fastigat","make pointed; slope to point; exalt to high;"
"1805","fastigat","|exhaust; intoxicate;"
"1806","fatigat","weary, tire, fatigue; harass; importune; overcome;"
"1807","febricitat","have fever, be feverish, be ill of a fever;"
"1808","fecundat","make fertile/fruitful;"
"1809","fefellat","be failed(by); be disappointed(with);"
"1810","fellatat","suck (milk) (from); fellate, practice fellatio; (active participant);"
"1811","fellicat","suck (milk) (from); fellate, practice fellatio; (active participant);"
"1812","fellitat","suck (milk) (from); fellate, practice fellatio; (active participant);"
"1813","fellat","suck (milk) (from); fellate, practice fellatio; (active participant);"
"1814","felat","suck (milk) (from); fellate, practice fellatio; (active participant);"
"1815","fenerat","lend money at interest; make interest/profit; invest/finance/supply; borrow;"
"1816","feoffat","enfeoff, infeft (Scot.); invest with fief; put in legal possession;"
"1817","feriat","rest from work/labor; keep/celebrate holiday; be idle; abstain from;"
"1818","feritat","strike, deal blows; fight;"
"1819","fermentat","leaven; cause fermentation in; aerate (soil);"
"1820","ferruminat","cement, solder; glue; bind;"
"1821","feruminat","cement, solder; glue; bind;"
"1822","festinat","hasten, hurry;"
"1823","fetificat","breed/spawn; hatch/bring forth offspring/young;"
"1824","fetat","breed/spawn; hatch/bring forth offspring/young; impregnate, make fruitful (L+S);"
"1825","fibulat","join; bond; knit together; fasten; buckle up/together;unfasten; unbuckle;"
"1826","figurat","form, fashion, shape;"
"1827","firmat","strengthen, harden; support; declare; prove, confirm, establish;"
"1828","flagellat","flog, whip, lash, scourge; strike repeatedly; thresh/flail (grain); ""whip up"";"
"1829","flagitat","demand urgently; require; entreat, solicit, press, dun, importune;"
"1830","flagrat","be on fire; blaze, flame, burn; be inflamed/excited;"
"1831","flammigerat","flame; blaze;"
"1832","flammat","inflame, set on fire; excite;"
"1833","flat","breathe; blow;"
"1834","fluctuat","rise in waves, surge, swell, undulate, fluctuate; float; be agitated/restless;"
"1835","fluitat","float; flow; waver;"
"1836","focillat","warm up, refresh by warmth;"
"1837","focilat","revive, restore to health/consciousness; keep alive; cherish, tend, foster;"
"1838","fodicat","dig, jog; [w/latus => dig in the ribs];"
"1839","foederat","seal; ratify (an agreement); establish by treaty/league (L+S);"
"1840","foedat","defile; pollute; soil, stain, make filthy/unclean; contaminate; corrupt;"
"1841","foedat","|disgrace/dishonor; bring shame, discredit; sully/besmirch (person/reputation);"
"1842","foedat","||disfigure, mar, spoil appearance/brightness/clearness/purity of; darken, dim;"
"1843","foedat","|||make (punishment) horrible/barbarous; mangle/hack/mutilate, ravage (land);"
"1844","foetificat","breed/spawn; hatch/bring forth offspring/young;"
"1845","foetat","breed/spawn; hatch/bring forth offspring/young; impregnate, make fruitful (L+S);"
"1846","formidat","dread, fear, be afraid of; be afraid for (the safety of) (w/DAT);"
"1847","format","form, shape, fashion, model;"
"1848","fornicat","fornicate; commit fornication/whoredom; prostitute/devote to unworthy use (Def);"
"1849","fortificat","strengthen, fortify, make strong;"
"1850","fortunat","make happy, bless, prosper;"
"1851","fragrat","smell strongly;"
"1852","fraudat","cheat/defraud/swindle; deprive deceitfully; baffle, make ineffectual; dishonor;"
"1853","fraudat","|embezzle, take (money) dishonestly, steal; violate; evade/trick intent of law;"
"1854","frenat","brake, curb, restrain, check;"
"1855","frequentat","frequent; repeat often; haunt; throng; crowd; celebrate;"
"1856","frict","rub, chafe;"
"1857","friat","rub; crumble;"
"1858","frixat","thoroughly roast;"
"1859","fromat","throw up;"
"1860","fructiferat","bear fruit; (Vulgate 4 Ezra 16:25/26);"
"1861","fructificat","sprout, produce new growth (plants); bear (new) fruit (L+S); increase (Douay);"
"1862","frustrat","disappoint, frustrate, deceive (w/false hope); escape/elude; baffle/evade; fail;"
"1863","frustrat","|reject; delay; rob/defraud/cheat; pretend; refute (argument); corrupt/falsify;"
"1864","fruticat","put forth shoots, bush/branch out; (antlers); become bushy, grow thickly (hair);"
"1865","fucat","color; paint; dye;"
"1866","fugat","put to flight, rout; chase away; drive into exile;"
"1867","fulgurat","glitter/flash/shine brightly, gleam; light up; (IMPERS) it lightens;"
"1868","fulminat","lighten; cause lightning to strike; strike like lightning;"
"1869","fumificat","smoke (a cigar);"
"1870","fumigat","smoke (kitchen);"
"1871","fumigat","smoke, fumigate; treat with/subject to smoke; produce smoke (L+S); steam;"
"1872","fundat","establish, found, begin; lay the bottom, lay a foundation; confirm;"
"1873","funerat","bury solemnly, inter with the funeral rites;"
"1874","funestat","pollute by murder;"
"1875","furcillat","support;"
"1876","furiat","madden, enrage;"
"1877","fuscat","darken, blacken, make dark; (INTRANS) become dark;"
"1878","galeat","cover with a helmet;"
"1879","gargarissat","gargle;"
"1880","gargarizat","gargle;"
"1881","gelat","cause to freeze; (pass.) be frozen, be chilled;"
"1882","geminat","double; repeat; double the force of; pair (with);"
"1883","gemmat","bud, come into bud, put out buds;"
"1884","generat","beget, father, produce, procreate; spring/descend from (PASSIVE);"
"1885","germinat","sprout forth;"
"1886","gestitat","carry often; wear often;"
"1887","gestat","bear, carry; wear;"
"1888","glaciat","freeze;"
"1889","glomerat","collect, amass, assemble; form into a ball;"
"1890","glorificat","glorify; magnify, honor, worship (Def); exalt in thought/speech; uplift;"
"1891","glutinat","glue; B:join (espec. wounds);"
"1892","graecissat","imitate the Greeks;"
"1893","grandinatus e","it hails;"
"1894","gratificat","oblige, gratify, humor, show kindness to; bestow, make a present of;"
"1895","gravidat","impregnate, make pregnant; load/weigh down, burden (Ecc); oppress, incommode;"
"1896","gravitat","revolve;"
"1897","gravat","load/weigh down; burden, oppress; pollute (air); accuse, incriminate; aggravate;"
"1898","gregat","gather, assemble;"
"1899","gubernat","steer, drive, pilot, direct, manage, conduct, guide, control, govern;"
"1900","gustat","taste, sip; have some experience of; enjoy;"
"1901","gypsat","cover with gypsum;"
"1902","gyrat","go around/about (thing); turn/wheel around/in a circle;"
"1903","habilitat","enable; make suitable;"
"1904","habitat","inhabit, dwell; live, stay;"
"1905","habituat","habituate, bring into condition/habit (body); (PASS) be conditioned/in habit;"
"1906","haesitat","stick hesitate, be undecided; be stuck;"
"1907","halitat","breathe;"
"1908","halat","emit (vapor, etc); be fragrant;"
"1909","hebetat","blunt, deaden, make dull/faint/dim/torpid/inactive (light/plant/senses), weaken;"
"1910","hereditat","inherit;"
"1911","hibernat","spend the winter; be in winter quarters;"
"1912","hiemat","winter, pass the winter, keep winter quarters; be wintry/frozen/stormy;"
"1913","hilarat","cheer, gladden; give cheerful appearance to;"
"1914","hiat","be wide open, gape; be greedy for; be open-mouthed (with astonishment, etc);"
"1915","honestat","honor (with); adorn, grace;"
"1916","honorificat","honor; do honor to; confer honor;"
"1917","honorat","respect, honor;"
"1918","horripilat","become bristly/hairy; be shaggy (L+S); shudder/shake (Sou); pierce (Douay);"
"1919","hospitat","play/act as host; offer hospitality; put up guests/lodgers;"
"1920","humanat","make human; (in PASSIVE of the incarnation of Christ);"
"1921","humectat","moisten;"
"1922","humiliat","humble; abase; humiliate (Def);"
"1923","humat","inter, bury;"
"1924","hymnizat","sing hymns; worship in song;"
"1925","hypnotizat","hypnotize;"
"1926","hypothecat","mortgage;"
"1927","identificat","identify;"
"1928","idololatriat","worship an idol;"
"1929","ignorat","not know; be unfamiliar with; disregard; ignore; be ignorant of;"
"1930","illaborat","work (at); (w/DAT);"
"1931","illacrimat","weep over/at (with DAT); shed tears; water (eyes);"
"1932","illaqueat","take in a snare; ensnare, entangle;"
"1933","illectat","entice, attract, allure;"
"1934","illigat","bind, fasten, tie up;"
"1935","illuminat","illuminate; color;"
"1936","illuminat","illuminate, give light to; light up; reveal/throw light on; brighten (w/color);"
"1937","illustrat","illuminate, light up; give glory; embellish; make clear, elucidate; enlighten;"
"1938","imitat","imitate/copy/mimic; follow; make an imitation/reproduction; resemble; simulate;"
"1939","immigrat","move (into);"
"1940","immolat","sacrifice, offer (victim) in sacrifice; sprinkle with sacred meal; immolate;"
"1941","immortalificat","immortalize;"
