1st_deponent,commis,"carouse, revel, make merry; hold a festive procession (L+S);"
1st_deponent,commiss,"carouse, revel, make merry; hold a festive procession (L+S);"
1st_deponent,commor,"stop/stay/remain, abide; linger, delay; detain, be delayed (menses); dwell on;"
1st_deponent,communic,share; share/divide with/out; receive/take a share of; receive; join with;
1st_deponent,commurmur,"mutter, murmur; rumble; chatter/twitter (birds);"
1st_deponent,compestr,clothe in apron;
1st_deponent,complex,"embrace closely; join, combine (Ecc);"
1st_deponent,comprec,"implore, invoke (gods); supplicate, pray that; pray for; pray to;"
1st_deponent,concert,"fight, engage in a contest, vie with, dispute, debate (zealously); argue over;"
1st_deponent,concion,"address assembly, deliver public speech; preach/harangue; attend public meeting;"
1st_deponent,concomit,"attend, accompany, escort;"
1st_deponent,concrimin,"bring a charge; make an accusation; make bitter accusations, complain (L+S);"
1st_deponent,confabric,"construct, build up; compose, make (L+S);"
1st_deponent,confabul,"converse, talk together; talk about; discuss something (L+S);"
1st_deponent,conflict,"contend, struggle; enter into a contest;"
1st_deponent,confort,wax strong; take courage;
1st_deponent,conglaci,"freeze, turn to ice;"
1st_deponent,conglutin,glue/stick/bind/cohere together; cement; cleave to; bring to agreement; devise;
1st_deponent,congratul,congratulate; wish joy; rejoice with (ECC);
1st_deponent,conjucund,rejoice together/with one;
1st_deponent,conlaet,rejoice together;
1st_deponent,conlimit,border upon; (w/DAT);
1st_deponent,conluct,struggle physically; wrestle/contend (with); struggle/fight against (adversity);
1st_deponent,conmerc,"buy, purchase; buy up (L+S); trade/traffic together;"
1st_deponent,conmor,"stop/stay/remain, abide; linger, delay; detain, be delayed (menses); dwell on;"
1st_deponent,conmunic,share; share/divide with/out; receive/take a share of; receive; join with;
1st_deponent,con,"attempt/try/endeavor, make an effort; exert oneself; try to go/rise/speak;"
1st_deponent,conprec,"implore, invoke (gods); supplicate, pray that; pray for; pray to;"
1st_deponent,conrusp,"search for, seek out; search carefully after (L+S);"
1st_deponent,consavi,cover with kisses; kiss affectionately (L+S);
1st_deponent,conscre,clear the throat/voice; hawk (much);
1st_deponent,consect,"seek, pursue, make for (eagerly); research into; imitate, follow example of;"
1st_deponent,consect,"|hunt down, overtake, seek out (to destroy); attack/inveigh against; persecute;"
1st_deponent,consermon,"talk, converse;"
1st_deponent,consili,"take counsel, consult; deliberate; advise, give advice;"
1st_deponent,consol,"console, (be source of) comfort/solace; soothe; alleviate/allay/assuage (grief);"
1st_deponent,conspic,"catch sight of, see; observe, notice; perceive; be conspicuous; be regarded;"
1st_deponent,consuavi,cover with kisses; kiss affectionately (L+S);
1st_deponent,consult,"consult, go for/ask/take counsel; consult oracle/astrologer;"
1st_deponent,contechn,"plot, devise/contrive a trick;"
1st_deponent,contempl,"observe/note/notice, gaze/look hard at, regard; contemplate/consider carefully;"
1st_deponent,content,satisfy; pay;
1st_deponent,contest,call to witness; appeal to the gods that (w/ut); join issue (w/litis);
1st_deponent,contin,"encounter, meet with;"
1st_deponent,continu,"encounter, meet with; join, unite oneself to/with (L+S);"
1st_deponent,contion,"address assembly, deliver public speech; preach/harangue; attend public meeting;"
1st_deponent,cont,inquire;
1st_deponent,cont,"delay, impede, hold up; hesitate, tarry, linger; be slow to act; dawdle; doubt;"
1st_deponent,contrari,oppose;
1st_deponent,controvers,dispute; (used by Cicero as translation of Greek); be at variance (L+S);
1st_deponent,contut,place in safety;
