"","x"
"1906","#fumigo, fumigare, fumigavi, fumigatus  V (1st)                                                      [GXXEK] :: smoke (kitchen);"
"1907","#fumigo, fumigare, fumigavi, fumigatus  V (1st) TRANS                                                [XXXEO] :: smoke, fumigate; treat with/subject to smoke; produce smoke (L+S); steam;"
"1908","#fumo, fumare, fumavi, -  V (1st)                                                                    [XXXDX] :: smoke, steam, fume, reek;"
"1909","#fundo, fundare, fundavi, fundatus  V (1st)                                                          [XXXBX] :: establish, found, begin; lay the bottom, lay a foundation; confirm;"
"1910","#funero, funerare, funeravi, funeratus  V (1st) TRANS                                                [XXXEC] :: bury solemnly, inter with the funeral rites;"
"1911","#funesto, funestare, funestavi, funestatus  V (1st)                                                  [XXXDX] :: pollute by murder;"
"1912","#furcillo, furcillare, furcillavi, furcillatus  V (1st) TRANS                                        [XXXEC] :: support;"
"1913","#furio, furiare, furiavi, furiatus  V (1st)                                                          [XXXDX] :: madden, enrage;"
"1914","#fusco, fuscare, fuscavi, fuscatus  V (1st)                                                          [XXXCO] :: darken, blacken, make dark; (INTRANS) become dark;"
"1915","#galeo, galeare, galeavi, galeatus  V (1st) TRANS                                                    [XWXEC] :: cover with a helmet;"
"1916","#gargarisso, gargarissare, gargarissavi, gargarissatus  V (1st)                                      [XBXDO] :: gargle;"
"1917","#gargarizo, gargarizare, gargarizavi, gargarizatus  V (1st)                                          [XBXDO] :: gargle;"
"1918","#gelo, gelare, gelavi, gelatus  V (1st)                                                              [XXXDX] :: cause to freeze; (pass.) be frozen, be chilled;"
"1919","#gemino, geminare, geminavi, geminatus  V (1st)                                                      [XXXDX] :: double; repeat; double the force of; pair (with);"
"1920","#gemmo, gemmare, gemmavi, gemmatus  V (1st) INTRANS                                                  [XAXCO] :: bud, come into bud, put out buds;"
"1921","#genero, generare, generavi, generatus  V (1st)                                                      [XXXDX] :: beget, father, produce, procreate; spring/descend from (PASSIVE);"
"1922","#germino, germinare, germinavi, germinatus  V (1st)                                                  [XXXEC] :: sprout forth;"
"1923","#gestito, gestitare, gestitavi, gestitatus  V (1st)                                                  [XXXCS] :: carry often; wear often;"
"1924","#gesto, gestare, gestavi, gestatus  V (1st)                                                          [XXXBX] :: bear, carry; wear;"
"1925","#glacio, glaciare, glaciavi, glaciatus  V (1st)                                                      [XXXEC] :: freeze;"
"1926","#glomero, glomerare, glomeravi, glomeratus  V (1st)                                                  [XXXDX] :: collect, amass, assemble; form into a ball;"
"1927","#glorifico, glorificare, glorificavi, glorificatus  V (1st) TRANS                                    [DEXDS] :: glorify; magnify, honor, worship (Def); exalt in thought/speech; uplift;"
"1928","#glutino, glutinare, glutinavi, glutinatus  V (1st)                                                  [XXXES] :: glue; B:join (espec. wounds);"
"1929","#graecisso, graecissare, graecissavi, graecissatus  V (1st)                                          [XXXEC] :: imitate the Greeks;"
"1930","#grandinat, grandinare, grandinavit, grandinatus est  V (1st) IMPERS                                 [XXXEC] :: it hails;"
"1931","#gratifico, gratificare, gratificavi, gratificatus  V (1st) TRANS                                    [EXXFW] :: oblige, gratify, humor, show kindness to; bestow, make a present of;"
"1932","#gravido, gravidare, gravidavi, gravidatus  V (1st) TRANS                                            [XXXDO] :: impregnate, make pregnant; load/weigh down, burden (Ecc); oppress, incommode;"
"1933","#gravito, gravitare, gravitavi, gravitatus  V (1st)                                                  [GXXEK] :: revolve;"
"1934","#gravo, gravare, gravavi, gravatus  V (1st) TRANS                                                    [XXXBO] :: load/weigh down; burden, oppress; pollute (air); accuse, incriminate; aggravate;"
"1935","#grego, gregare, gregavi, gregatus  V (1st)                                                          [EXXDX] :: gather, assemble;"
"1936","#guberno, gubernare, gubernavi, gubernatus  V (1st)                                                  [XXXBX] :: steer, drive, pilot, direct, manage, conduct, guide, control, govern;"
"1937","#gusto, gustare, gustavi, gustatus  V (1st)                                                          [XXXBX] :: taste, sip; have some experience of; enjoy;"
"1938","#gypso, gypsare, gypsavi, gypsatus  V (1st) TRANS                                                    [XXXEC] :: cover with gypsum;"
"1939","#gyro, gyrare, gyravi, gyratus  V (1st)                                                              [EXXCS] :: go around/about (thing); turn/wheel around/in a circle;"
"1940","#habilito, habilitare, habilitavi, habilitatus  V (1st)                                              [FXXFM] :: enable; make suitable;"
"1941","#habito, habitare, habitavi, habitatus  V (1st)                                                      [XXXAX] :: inhabit, dwell; live, stay;"
"1942","#habituo, habituare, habituavi, habituatus  V (1st) INTRANS                                          [DXXES] :: habituate, bring into condition/habit (body); (PASS) be conditioned/in habit;"
"1943","#haesito, haesitare, haesitavi, haesitatus  V (1st)                                                  [XXXDX] :: stick hesitate, be undecided; be stuck;"
"1944","#halito, halitare, halitavi, halitatus  V (1st) INTRANS                                              [EBXEE] :: breathe;"
"1945","#halo, halare, halavi, halatus  V (1st)                                                              [XXXDX] :: emit (vapor, etc); be fragrant;"
"1946","#hebeto, hebetare, hebetavi, hebetatus  V (1st) TRANS                                                [XXXBO] :: blunt, deaden, make dull/faint/dim/torpid/inactive (light/plant/senses), weaken;"
"1947","#heredito, hereditare, hereditavi, hereditatus  V (1st) TRANS                                        [DLXES] :: inherit;"
"1948","#hiberno, hibernare, hibernavi, hibernatus  V (1st)                                                  [XXXDX] :: spend the winter; be in winter quarters;"
"1949","#hiemo, hiemare, hiemavi, hiematus  V (1st)                                                          [XXXDX] :: winter, pass the winter, keep winter quarters; be wintry/frozen/stormy;"
"1950","#hilaro, hilarare, hilaravi, hilaratus  V (1st) TRANS                                                [XXXCO] :: cheer, gladden; give cheerful appearance to;"
"1951","#hio, hiare, hiavi, hiatus  V (1st)                                                                  [XXXDX] :: be wide open, gape; be greedy for; be open-mouthed (with astonishment, etc);"
"1952","#hisco, hiscare, -, -  V (1st)                                                                       [XXXDX] :: (begin to) open, gape; open the mouth to speak;"
"1953","#honesto, honestare, honestavi, honestatus  V (1st)                                                  [XXXDX] :: honor (with); adorn, grace;"
"1954","#honorifico, honorificare, honorificavi, honorificatus  V (1st) TRANS                                [DXXES] :: honor; do honor to; confer honor;"
"1955","#honoro, honorare, honoravi, honoratus  V (1st)                                                      [XXXBX] :: respect, honor;"
"1956","#horripilo, horripilare, horripilavi, horripilatus  V (1st) INTRANS                                  [XXXFO] :: become bristly/hairy; be shaggy (L+S); shudder/shake (Sou); pierce (Douay);"
"1957","#hospito, hospitare, hospitavi, hospitatus  V (1st) TRANS                                            [EXXFW] :: play/act as host; offer hospitality; put up guests/lodgers;"
"1958","#humano, humanare, humanavi, humanatus  V (1st) TRANS                                                [DEXES] :: make human; (in PASSIVE of the incarnation of Christ);"
"1959","#humecto, humectare, humectavi, humectatus  V (1st) TRANS                                            [XXXEE] :: moisten;"
"1960","#humilio, humiliare, humiliavi, humiliatus  V (1st) TRANS                                            [DXXCS] :: humble; abase; humiliate (Def);"
"1961","#humo, humare, humavi, humatus  V (1st)                                                              [XXXDX] :: inter, bury;"
"1962","#hymnizo, hymnizare, hymnizavi, hymnizatus  V (1st) INTRANS                                          [FEXEE] :: sing hymns; worship in song;"
"1963","#hypnotizo, hypnotizare, hypnotizavi, hypnotizatus  V (1st)                                          [GXXEK] :: hypnotize;"
"1964","#hypotheco, hypothecare, hypothecavi, hypothecatus  V (1st)                                          [GXXEK] :: mortgage;"
"1965","#identifico, identificare, identificavi, identificatus  V (1st)                                      [GXXEK] :: identify;"
"1966","#idololatrio, idololatriare, idololatriavi, idololatriatus  V (1st) TRANS                            [DEXFP] :: worship an idol;"
"1967","#ignoro, ignorare, ignoravi, ignoratus  V (1st)                                                      [XXXAX] :: not know; be unfamiliar with; disregard; ignore; be ignorant of;"
"1968","#illaboro, illaborare, illaboravi, illaboratus  V (1st) INTRANS                                      [XXXFO] :: work (at); (w/DAT);"
"1969","#illacrimo, illacrimare, illacrimavi, illacrimatus  V (1st)                                          [XXXCO] :: weep over/at (with DAT); shed tears; water (eyes);"
"1970","#illaqueo, illaqueare, illaqueavi, illaqueatus  V (1st)                                              [XXXDX] :: take in a snare; ensnare, entangle;"
"1971","#illatebro, illatebrare, -, -  V (1st) TRANS                                                         [XXXFS] :: hide in a corner;"
"1972","#illatro, illatrare, -, -  V (1st) INTRANS                                                           [XPXES] :: bark;"
"1973","#illecto, illectare, illectavi, illectatus  V (1st) TRANS                                            [XXXFO] :: entice, attract, allure;"
"1974","#illigo, illigare, illigavi, illigatus  V (1st)                                                      [XXXDX] :: bind, fasten, tie up;"
"1975","#illumino, illuminare, illuminavi, illuminatus  V (1st)                                              [GXXEK] :: illuminate; color;"
"1976","#illumino, illuminare, illuminavi, illuminatus  V (1st) TRANS                                        [XXXCO] :: illuminate, give light to; light up; reveal/throw light on; brighten (w/color);"
"1977","#illustro, illustrare, illustravi, illustratus  V (1st) TRANS                                        [XXXBO] :: illuminate, light up; give glory; embellish; make clear, elucidate; enlighten;"
"1978","#imito, imitare, imitavi, imitatus  V (1st) TRANS                                                    [XXXDO] :: imitate/copy/mimic; follow; make an imitation/reproduction; resemble; simulate;"
"1979","#immigro, immigrare, immigravi, immigratus  V (1st)                                                  [XXXDX] :: move (into);"
"1980","#immolo, immolare, immolavi, immolatus  V (1st)                                                      [XXXDX] :: sacrifice, offer (victim) in sacrifice; sprinkle with sacred meal; immolate;"
"1981","#immortalifico, immortalificare, immortalificavi, immortalificatus  V (1st)                          [GXXEK] :: immortalize;"
"1982","#immurmuro, immurmurare, immurmuravi, immurmuratus  V (1st)                                          [XXXDX] :: murmur, mutter (at or to);"
"1983","#immuto, immutare, immutavi, immutatus  V (1st)                                                      [XXXDX] :: change, alter, transform;"
"1984","#imperito, imperitare, imperitavi, imperitatus  V (1st)                                              [XXXDX] :: command, govern;"
"1985","#impero, imperare, imperavi, imperatus  V (1st)                                                      [XXXAX] :: order, command, levy; rule (over) (w/DAT);"
"1986","#impetro, impetrare, impetravi, impetratus  V (1st)                                                  [XXXBX] :: obtain/procure (by asking/request/entreaty); succeed/achieve/be granted; obtain;"
"1987","#impinguo, impinguare, impinguavi, impinguatus  V (1st)                                              [XXXES] :: fatten, make fat/sleek; become fat/thick; anoint (with oil) (Douay);"
"1988","#impio, impiare, impiavi, impiatus  V (1st) TRANS                                                    [XXXES] :: render impervious; stain with sin;"
"1989","#implacito, implacitare, implacitavi, implacitatus  V (1st)                                          [FLXFJ] :: implead; be pleaded against;"
"1990","#implano, implanare, implanavi, implanatus  V (1st) TRANS                                            [EXXFS] :: deceive, delude; lead astray;"
"1991","#implanto, implantare, implantavi, implantatus  V (1st) TRANS                                        [EXXFE] :: implant; put in; add; plant; establish;"
"1992","#implico, implicare, implicavi, implicatus  V (1st) TRANS                                            [XXXAO] :: implicate; involve/engage/entangle/embroil; interweave/fold/twine w/itself;"
"1993","#implico, implicare, implicavi, implicatus  V (1st) TRANS                                            [XXXAO] :: |entwine/enfold/envelop/encircle; wrap up inside; embrace; enclose; hem in;"
"1994","#implico, implicare, implicavi, implicatus  V (1st) TRANS                                            [XXXAO] :: ||interweave/interlace/intertwine; clasp/grasp (L+S); unite/join/mix;"
"1995","#implico, implicare, implicavi, implicatus  V (1st) TRANS                                            [XXXAO] :: |||perplex/confuse/confound/complicate; take hold (disease);"
"1996","#implico, implicare, implicavi, implicatus  V (1st) TRANS                                            [XXXAO] :: ||||(PASS) be intimately associated/connected/related/bound; be a tangle/maze;"
"1997","#implico, implicare, implicui, implicitus  V (1st) TRANS                                             [XXXAO] :: implicate; involve/engage/entangle/embroil; interweave/fold/twine w/itself;"
"1998","#implico, implicare, implicui, implicitus  V (1st) TRANS                                             [XXXAO] :: |entwine/enfold/envelop/encircle; wrap up inside; embrace; enclose; hem in;"
"1999","#implico, implicare, implicui, implicitus  V (1st) TRANS                                             [XXXAO] :: ||interweave/interlace/intertwine; clasp/grasp (L+S); unite/join/mix;"
"2000","#implico, implicare, implicui, implicitus  V (1st) TRANS                                             [XXXAO] :: |||perplex/confuse/confound/complicate; take hold (disease);"
"2001","#implico, implicare, implicui, implicitus  V (1st) TRANS                                             [XXXAO] :: ||||(PASS) be intimately associated/connected/related/bound; be a tangle/maze;"
"2002","#imploro, implorare, imploravi, imploratus  V (1st)                                                  [XXXDX] :: appeal to, invoke; beg, beseech, implore; ask for help/favor/protection;"
"2003","#importo, importare, importavi, importatus  V (1st)                                                  [XXXDX] :: bring in, convey; import; bring about, cause;"
"2004","#impraegno, impraegnare, -, impraegnatus  V (1st)                                                    [EBXES] :: impregnate; make pregnant;"
"2005","#imprisono, imprisonare, imprisonavi, imprisonatus  V (1st)                                          [FLXFJ] :: imprison;"
"2006","#improbo, improbare, improbavi, improbatus  V (1st) TRANS                                            [XXXCO] :: disapprove of, express disapproval of, condemn; reject;"
"2007","#impropero, improperare, improperavi, improperatus  V (1st)                                          [XXXEO] :: blame (person); reproach (with), taunt, upbraid (L+S);"
"2008","#impropero, improperare, improperavi, improperatus  V (1st) INTRANS                                  [XXXFS] :: hasten into, enter hastily;"
"2009","#impugno, impugnare, impugnavi, impugnatus  V (1st)                                                  [XXXDX] :: fight against, attack, assail;"
"2010","#imputo, imputare, imputavi, imputatus  V (1st)                                                      [XXXAO] :: charge, enter as debt/credit; take into account; impute, ascribe; lay to charge;"
"2011","#imputo, imputare, imputavi, imputatus  V (1st)                                                      [XXXAO] :: |claim credit/recompense for; make a favor a cause for obligation;"
"2012","#inaedifico, inaedificare, inaedificavi, inaedificatus  V (1st)                                      [XXXDX] :: build (in a place); wall up;"
"2013","#inaequo, inaequare, inaequavi, inaequatus  V (1st) TRANS                                            [XXXEO] :: make equal; make level; make even (L_S);"
"2014","#inaestuo, inaestuare, inaestuavi, inaestuatus  V (1st) INTRANS                                      [XXXES] :: rage;"
"2015","#inalbo, inalbare, inalbavi, inalbatus  V (1st) TRANS                                                [XXXDS] :: whiten; brighten;"
"2016","#inamarico, inamaricare, inamaricavi, inamaricatus  V (1st) TRANS                                    [DXXFS] :: embitter;"
"2017","#inambulo, inambulare, inambulavi, inambulatus  V (1st)                                              [XXXDX] :: walk up and down;"
"2018","#inargento, inargentare, inargentavi, inargentatus  V (1st) TRANS                                    [XXXES] :: overlay with silver;"
"2019","#inaro, inarare, inaravi, inaratus  V (1st) TRANS                                                    [XXXES] :: plow in; cultivate;"
"2020","#inauguro, inaugurare, inauguravi, inauguratus  V (1st)                                              [XXXDX] :: take omens by the flight of birds; consecrate by augury;"
"2021","#inauro, inaurare, inauravi, inauratus  V (1st)                                                      [XXXDX] :: gild, make rich;"
"2022","#incanto, incantare, incantavi, incantatus  V (1st)                                                  [XXXDS] :: sing; say over; consecrate with spells;"
"2023","#incapacito, incapacitare, incapacitavi, incapacitatus  V (1st) TRANS                                [XXXFO] :: bridle; put a halter on; halter, muzzle (L+S); fetter, entangle; make ass of;"
"2024","#incarcero, incarcerare, incarceravi, incarceratus  V (1st) TRANS                                    [FXXDF] :: imprison, incarcerate, confine, shut up in prison, jail;"
"2025","#incardino, incardinare, incardinavi, incardinatus  V (1st) TRANS                                    [FEXEE] :: incardinate; become member of diocese (clergy); raise to cardinal;"
"2026","#incarno, incarnare, incarnavi, incarnatus  V (1st) TRANS                                            [EEXCS] :: make incarnate, make into flesh; (PASS) be made flesh, become incarnate;"
"2027","#incaro, incarare, incaravi, incaratus  V (1st) TRANS                                                [EEXFE] :: make incarnate, make into flesh; (PASS) be made flesh, become incarnate;"
"2028","#incenso, incensare, incensavi, incensatus  V (1st) INTRANS                                          [EXXEP] :: burn incense;"
"2029","#incepto, inceptare, inceptavi, inceptatus  V (1st)                                                  [XXXDS] :: begin; undertake; attempt;"
"2030","#incero, incerare, inceravi, inceratus  V (1st) TRANS                                                [XXXES] :: smear over; E:attach wax tablet to;"
"2031","#incerto, incertare, incertavi, incertatus  V (1st) TRANS                                            [XXXES] :: render uncertain;"
"2032","#incesto, incestare, incestavi, incestatus  V (1st)                                                  [XXXDX] :: pollute, defile;"
"2033","#inchoo, inchoare, inchoavi, inchoatus  V (1st)                                                      [XXXAO] :: begin/start (work); set going, establish; draft/sketch/outline; enter upon;"
"2034","#incilo, incilare, incilavi, incilatus  V (1st)                                                      [XXXEC] :: blame, scold;"
"2035","#incinero, incinerare, incineravi, incineratus  V (1st)                                              [FXXFM] :: burn to ashes;"
"2036","#incito, incitare, incitavi, incitatus  V (1st)                                                      [XXXDX] :: enrage; urge on; inspire; arouse;"
"2037","#inclamito, inclamitare, inclamitavi, inclamitatus  V (1st) TRANS                                    [BXXFS] :: abuse; scold;"
"2038","#inclamo, inclamare, inclamavi, inclamatus  V (1st)                                                  [XXXDX] :: cry out (to), call upon; abuse, revile;"
"2039","#inclino, inclinare, inclinavi, inclinatus  V (1st)                                                  [XXXBX] :: bend; lower; incline; decay; grow worse; set (of the sun); deject;"
"2040","#incoho, incohare, incohavi, incohatus  V (1st)                                                      [BXXAO] :: begin/start (work); set going, establish; draft/sketch/outline; enter upon;"
"2041","#incolo, incolare, incolavi, incolatus  V (1st)                                                      [EXXEP] :: live, dwell/reside (in); inhabit; sojourn;"
"2042","#incommodo, incommodare, incommodavi, incommodatus  V (1st)                                          [XXXCO] :: inconvenience, obstruct, hinder; be inconvenient/troublesome, cause difficulty;"
"2043","#inconcilio, inconciliare, inconciliavi, inconciliatus  V (1st) TRANS                                [XXXES] :: win over by trickery; embarrass;"
"2044","#incrasso, incrassare, incrassavi, incrassatus  V (1st) TRANS                                        [DXXEF] :: fatten; make thick/stout;"
"2045","#increpito, increpitare, increpitavi, increpitatus  V (1st)                                          [XXXDX] :: chide, utter (noisy) reproaches at;"
"2046","#increpo, increpare, increpavi, increpatus  V (1st) INTRANS                                          [XXXES] :: rattle, snap, clash, roar, twang, make noise; (alarm/danger); strike noisily;"
"2047","#increpo, increpare, increpavi, increpatus  V (1st) TRANS                                            [XXXES] :: rebuke, chide, reprove; protest at/indignantly, complain loudly/scornfully;"
"2048","#increpo, increpare, increpui, increpitus  V (1st) INTRANS                                           [XXXBO] :: rattle, snap, clash, roar, twang, make noise; (alarm/danger); strike noisily;"
"2049","#increpo, increpare, increpui, increpitus  V (1st) TRANS                                             [XXXBO] :: rebuke, chide, reprove; protest at/indignantly, complain loudly/scornfully;"
"2050","#incrusto, incrustare, incrustavi, incrustatus  V (1st) TRANS                                        [XXXCO] :: cover (with a layer), coat, line, daub; give an ornamental layer to, encrust;"
"2051","#incubito, incubitare, incubitavi, incubitatus  V (1st)                                              [XXXCS] :: lie upon; brood;"
"2052","#incubo, incubare, incubavi, incubatus  V (1st) INTRANS                                              [XXXFS] :: brood; (rare alt. perf/vpar for incubo);"
"2053","#incubo, incubare, incubui, incubitus  V (1st)                                                       [XXXBX] :: lie in or on (w/DAT); sit upon; brood over; keep a jealous watch (over);"
"2054","#inculco, inculcare, inculcavi, inculcatus  V (1st)                                                  [XXXDX] :: force upon, impress, drive home;"
"2055","#incumbero, incumberare, incumberavi, incumberatus  V (1st)                                          [FLXFJ] :: encumber;"
"2056","#incumbro, incumbrare, incumbravi, incumbratus  V (1st)                                              [FXXFM] :: obstruct; block;"
"2057","#incursito, incursitare, incursitavi, incursitatus  V (1st) TRANS                                    [XXXES] :: rush upon; attack;"
"2058","#incurso, incursare, incursavi, incursatus  V (1st)                                                  [XXXDX] :: strike/run/dash against, attack; make raids upon;"
"2059","#incurvo, incurvare, incurvavi, incurvatus  V (1st)                                                  [XXXDX] :: make crooked or bent; cause to bend down;"
"2060","#incuso, incusare, incusavi, incusatus  V (1st)                                                      [XXXDX] :: accuse, blame, criticize, condemn;"
"2061","#indago, indagare, indagavi, indagatus  V (1st) TRANS                                                [XXXCO] :: track down, hunt out; search out, try to find/procure by seeking; investigate;"
"2062","#indecoro, indecorare, indecoravi, indecoratus  V (1st)                                              [XXXDX] :: disgrace;"
"2063","#indico, indicare, indicavi, indicatus  V (1st)                                                      [XXXAX] :: point out, show, indicate, expose, betray, reveal; inform against, accuse;"
"2064","#indubito, indubitare, indubitavi, indubitatus  V (1st)                                              [XXXDX] :: have misgivings (about);"
"2065","#induro, indurare, induravi, induratus  V (1st)                                                      [XXXDX] :: make hard;"
"2066","#indutio, indutiare, indutiavi, indutiatus  V (1st)                                                  [FLXFM] :: grant stay; E:clothe in monk's habit;"
"2067","#inebrio, inebriare, inebriavi, inebriatus  V (1st) TRANS                                            [XXXCO] :: intoxicate, make drunk; saturate/drench (with any liquid);"
"2068","#inequito, inequitare, -, -  V (1st)                                                                 [XXXFS] :: ride upon; ride over;"
"2069","#inerro, inerrare, inerravi, inerratus  V (1st) INTRANS                                              [XXXES] :: wander; ramble;"
"2070","#inesco, inescare, inescavi, inescatus  V (1st)                                                      [XXXFS] :: entice; fill with food;"
"2071","#infamo, infamare, infamavi, infamatus  V (1st)                                                      [XXXDX] :: bring into disrepute; defame;"
"2072","#infatuo, infatuare, infatuavi, infatuatus  V (1st) TRANS                                            [XXXEC] :: make a fool of;"
"2073","#infelicito, infelicitare, infelicitavi, infelicitatus  V (1st)                                      [BXXES] :: make unhappy;"
"2074","#infelico, infelicare, infelicavi, infelicatus  V (1st)                                              [BXXFS] :: make unhappy;"
"2075","#infenso, infensare, infensavi, infensatus  V (1st)                                                  [XXXDX] :: treat in a hostile manner;"
"2076","#infesto, infestare, infestavi, infestatus  V (1st) TRANS                                            [XXXBO] :: vex (w/attacks), harass, molest; make unsafe, disturb; infest; damage, impair;"
"2077","#infimo, infimare, infimavi, infimatus  V (1st) TRANS                                                [XXXDX] :: bring down to the lowest level; weaken, enfeeble; refute, invalidate, annul;"
"2078","#infirmo, infirmare, infirmavi, infirmatus  V (1st)                                                  [XXXDX] :: weaken; diminish; annul; (PASS) be ill (Bee);"
"2079","#inflammo, inflammare, inflammavi, inflammatus  V (1st)                                              [XXXDX] :: set on fire, inflame, kindle; excite;"
"2080","#inflo, inflare, inflavi, inflatus  V (1st)                                                          [XXXBX] :: blow into/upon; puff out;"
"2081","#informo, informare, informavi, informatus  V (1st)                                                  [XXXDX] :: shape, form; fashion; form an idea of;"
"2082","#infreno, infrenare, infrenavi, infrenatus  V (1st)                                                  [XXXDX] :: bridle;"
"2083","#infrico, infricare, infricui, infrictus  V (1st)                                                    [XXXES] :: rub in;"
"2084","#infrigido, infrigidare, infrigidavi, infrigidatus  V (1st)                                          [FXXFM] :: chill; cool;"
"2085","#infrio, infriare, infriavi, infriatus  V (1st) TRANS                                                [XXXCS] :: rub into; strew upon;"
"2086","#infulo, infulare, infulavi, infulatus  V (1st)                                                      [FEXEM] :: invest/vest with mitre/episcopal insignia; put on vestments; adorn w/halo;"
"2087","#infusco, infuscare, infuscavi, infuscatus  V (1st)                                                  [XXXDX] :: darken; corrupt;"
"2088","#ingemino, ingeminare, ingeminavi, ingeminatus  V (1st)                                              [XXXDX] :: redouble; increase in intensity;"
"2089","#ingenero, ingenerare, ingeneravi, ingeneratus  V (1st)                                              [XXXDX] :: implant;"
"2090","#ingeniculo, ingeniculare, ingeniculavi, ingeniculatus  V (1st) TRANS                                [XXXFO] :: kneel;"
"2091","#ingravo, ingravare, ingravavi, ingravatus  V (1st)                                                  [XXXDX] :: aggravate, make worse, weigh down, oppress, molest;"
"2092","#ingurgito, ingurgitare, ingurgitavi, ingurgitatus  V (1st)                                          [XXXDX] :: pour in liquid in a flood; engulf/plunge in; immerse in (activity); glut/gorge;"
"2093","#inhabilito, inhabilitare, inhabilitavi, inhabilitatus  V (1st)                                      [FXXEM] :: disqualify; incapacitate;"
"2094","#inhabito, inhabitare, inhabitavi, inhabitatus  V (1st)                                              [XXXCO] :: dwell in, inhabit, occupy; wear (garments) (L+S);"
"2095","#inhaeredito, inhaereditare, inhaereditavi, inhaereditatus  V (1st) TRANS                            [ELXFS] :: appoint an heir;"
"2096","#inhaeredo, inhaeredare, inhaeredavi, inhaeredatus  V (1st) TRANS                                    [ELXFS] :: appoint an heir;"
"2097","#inhalo, inhalare, inhalavi, inhalatus  V (1st)                                                      [XXXES] :: breathe; breathe on;"
"2098","#inheredito, inhereditare, inhereditavi, inhereditatus  V (1st) TRANS                                [ELXFS] :: appoint an heir;"
"2099","#inheredo, inheredare, inheredavi, inheredatus  V (1st) TRANS                                        [ELXFS] :: appoint an heir;"
"2100","#inhio, inhiare, inhiavi, inhiatus  V (1st)                                                          [XXXDX] :: gape, be open mouthed with astonishment; covet, desire;"
"2101","#inhonesto, inhonestare, inhonestavi, inhonestatus  V (1st)                                          [XXXDX] :: disgrace;"
"2102","#inhonoro, inhonorare, inhonoravi, inhonoratus  V (1st) TRANS                                        [XXXES] :: dishonor;"
"2103","#inimico, inimicare, inimicavi, inimicatus  V (1st)                                                  [XPXFS] :: make enemies;"
"2104","#initio, initiare, initiavi, initiatus  V (1st)                                                      [XXXDX] :: initiate (into); admit (to) with introductory rites;"
"2105","#injecto, injectare, injectavi, injectatus  V (1st)                                                  [XPXDS] :: apply; lay on;"
"2106","#injurio, injuriare, injuriavi, injuriatus  V (1st) TRANS                                            [FXXEM] :: injure; do injury; wrong, do wrong;"
"2107","#injuro, injurare, injuravi, injuratus  V (1st) TRANS                                                [DXXFS] :: not to swear;"
"2108","#inlaboro, inlaborare, inlaboravi, inlaboratus  V (1st) INTRANS                                      [XXXFO] :: work (at); (w/DAT);"
"2109","#inlacrimo, inlacrimare, inlacrimavi, inlacrimatus  V (1st)                                          [XXXCO] :: weep over/at (with DAT); shed tears; water (eyes);"
"2110","#inlago, inlagare, inlagavi, inlagatus  V (1st)                                                      [FLXFJ] :: inlaw; return to law from outlawry; reverse outlawry of person;"
"2111","#inlumino, inluminare, inluminavi, inluminatus  V (1st) TRANS                                        [XXXCO] :: illuminate, give light to; light up; reveal/throw light on; brighten (w/color);"
"2112","#inlustro, inlustrare, inlustravi, inlustratus  V (1st) TRANS                                        [XXXBO] :: illuminate, light up; give glory; embellish; make clear, elucidate; enlighten;"
"2113","#innato, innatare, innatavi, innatatus  V (1st)                                                      [XXXDX] :: swim (in or on); swim (into); float upon;"
"2114","#inno, innare, innavi, innatus  V (1st)                                                              [XXXDX] :: swim or float (in or on); sail (on);"
"2115","#innoco, innocare, innocavi, innocatus  V (1st) TRANS                                                [XAXES] :: harrow in;"
"2116","#innovo, innovare, innovavi, innovatus  V (1st) TRANS                                                [XXXDO] :: alter, make a innovation in; renew, restore; return to a thing (L+S);"
"2117","#inpetro, inpetrare, inpetravi, inpetratus  V (1st)                                                  [XXXDX] :: obtain/procure (by asking/request/entreaty); succeed/achieve/be granted; obtain;"
"2118","#inpinguo, inpinguare, inpinguavi, inpinguatus  V (1st)                                              [XXXES] :: fatten, make fat/sleek; become fat/thick; anoint (with oil) (Douay);"
"2119","#inplano, inplanare, inplanavi, inplanatus  V (1st) TRANS                                            [EXXFS] :: deceive, delude; lead astray;"
"2120","#inplico, inplicare, inplicavi, inplicatus  V (1st) TRANS                                            [XXXAO] :: implicate; involve/engage/entangle/embroil; interweave/fold/twine w/itself;"
"2121","#inplico, inplicare, inplicavi, inplicatus  V (1st) TRANS                                            [XXXAO] :: |entwine/enfold/envelop/encircle; wrap up inside; embrace; enclose; hem in;"
"2122","#inplico, inplicare, inplicavi, inplicatus  V (1st) TRANS                                            [XXXAO] :: ||interweave/interlace/intertwine; clasp/grasp (L+S); unite/join/mix;"
"2123","#inplico, inplicare, inplicavi, inplicatus  V (1st) TRANS                                            [XXXAO] :: |||perplex/confuse/confound/complicate; take hold (disease);"
"2124","#inplico, inplicare, inplicavi, inplicatus  V (1st) TRANS                                            [XXXAO] :: ||||(PASS) be intimately associated/connected/related/bound; be a tangle/maze;"
"2125","#inplico, inplicare, inplicui, inplicitus  V (1st) TRANS                                             [XXXAO] :: implicate; involve/engage/entangle/embroil; interweave/fold/twine w/itself;"
"2126","#inplico, inplicare, inplicui, inplicitus  V (1st) TRANS                                             [XXXAO] :: |entwine/enfold/envelop/encircle; wrap up inside; embrace; enclose; hem in;"
