"","V1","V2"
"138","ebulliv","spout out; chatter about; burst/break/send out; [animam ~ => expire];"
"139","ebulliv","|bubble; boil-up; produce in abundance;"
"140","edormiv","sleep, sleep off;"
"141","effutiv","blurt out; blab, babble, prate, chatter; utter foolishly/irresponsibly;"
"142","effuttiv","blurt out; blab, babble, prate, chatter; utter foolishly/irresponsibly;"
"143","emolliv","soften; enervate, mellow;"
"144","emuniv","fortify; make roads through;"
"145","enutriv","nurture, rear (offspring);"
"146","erudiv","educate, teach, instruct;"
"147","essens","make real; endow with essence;"
"148","esuriv","be hungry, hunger; want to eat, desire food; desire eagerly;"
"149","even","come out/about/forth; happen; turn out;"
"150","eveni","it happens, it turns out; come out, come forth;"
"151","exaperu","disclose; explain; disentangle;"
"152","exaudiv","hear clearly; comply with, heed; hear from afar; understand;"
"153","exciv","rouse; call out send for; summon; evoke;"
"154","exhaus","draw out; drain, drink up, empty; exhaust, impoverish; remove; end;"
"155","exiliv","spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"156","exilu","spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"157","exinaniv","empty, remove contents of; strip; despoil; drain, dry, pour out; weaken/exhaust;"
"158","expediv","disengage, loose, set free; be expedient; procure, obtain, make ready;"
"159","expoliv","polish; refine;"
"160","exsiliv","spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"161","exsilu","spring/leap/burst forth/out, leap up, start up, bound; emerge into existence;"
"162","fars","stuff, fill up/completely; gorge oneself; insert as stuffing, cram (into);"
"163","fastidiv","disdain; be scornful; feel aversion to, be squeamish;"
"164","feliv","roar/cry (expressing the cry of a leopard);"
"165","finiv","limit, end; finish; determine, define; mark out the boundaries;"
"166","fuls","prop up, support;"
"167","garriv","chatter/prattle/jabber; talk rapidly; talk/write nonsense; (birds/instruments);"
"168","gestiv","be eager, wish passionately; gesticulate, express strong feeling, exult;"
"169","haus","draw up/out; drink, swallow, drain, exhaust;"
"170","hinniv","neigh;"
"171","igniv","ignite; make red-hot;"
"172","illinev","smear on; spread on; besmear;"
"173","immugiv","bellow; resound inwardly; roar in/on;"
"174","immuniv","strengthen (garrison);"
"175","impartiv","bestow, impart, give a share (of); communicate (w/DAT); (=impertio);"
"176","impediv","hinder, impede, hamper, obstruct, prevent from (w/ne, quin, or quominus);"
"177","impertiv","bestow, impart, give a share (of); communicate (w/DAT);"
"178","impetriv","seek by auspices;"
"179","inaniv","empty;"
"180","inaudiv","hear of; learn;"
"181","indaudiv","hear of; learn; (archaic form of inaudio);"
"182","indormiv","sleep (in or over);"
"183","infers","stuff; stuff with;"
"184","infuls","cram; cram in;"
"185","innutriv","nourish;"
"186","inobaudiv","disobey; not listen/pay attention; (in+obaudio);"
"187","inboediv","disobey; not listen/pay attention;"
"188","inoboediv","disobey; not listen/pay attention;"
"189","inpediv","hinder, impede, hamper, obstruct, prevent from (w/ne, quin, or quominus);"
"190","insaniv","be mad, act crazily;"
"191","inserviv","be serviceable (L+S); be attached/submissive to; treat with deference;"
"192","inserviv","serve the interests of; take care of, look after, pay attention/be devoted to;"
"193","insigniv","mark with a characteristic feature; distinguish;"
"194","insigniv","mark; distinguish;"
"195","insiliv","come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
"196","insilu","come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
"197","insulu","come/leap upon/in; leap/spring up/at; attack/throw oneself upon; bound; mount;"
"198","intersaeps","separate; block;"
"199","interven","come between, intervene; occur, crop up;"
"200","inven","come upon; discover, find; invent, contrive; reach, manage to get;"
"201","investiv","clothe; cover;"
"202","irretiv","entangle; catch in a net;"
"203","irrugiv","cry loudly;"
"204","largiv","give bountifully; lavish;"
"205","lasciv","frisk; sport; run riot;"
"206","leniv","mitigate, moderate; alleviate, allay, assuage, ease, calm, placate, appease;"
"207","leniv","|mollify; explain away, gloss over; beguile, pass pleasantly; abate;"
"208","liguriv","lick, lick up;"
"209","ligurriv","lick, lick up;"
"210","liniv","smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
"211","lupiv","cry, utter the natural cry of the kite;"
"212","molliv","soften, mitigate, make easier; civilize, tame, enfeeble;"
"213","mugiv","low, bellow; make a loud deep noise;"
"214","muniv","fortify; strengthen; protect, defend, safeguard; build (road);"
"215","muttiv","mutter, murmur;"
"216","nesciv","not know (how); be ignorant/unfamiliar/unaware/unacquainted/unable/unwilling;"
"217","nutriv","suckle. breast feed; nourish/feed/fuel, supply, build up; preserve, look after;"
"218","nutriv","|rear/raise; foster/encourage; tend/treat (wound/sick person); deal gently with;"
"219","obaudiv","obey, listen to;"
"220","obdormiv","fall asleep;"
"221","obediv","obey; listen/harken/submit (to); be subject/obedient/responsible/a slave (to);"
"222","oboediv","obey; listen/harken/submit (to); be subject/obedient/responsible/a slave (to);"
"223","obsaeps","enclose, seal up; block, obstruct;"
"224","obven","meet;"
"225","odiv","hate; dislike; be disinclined/reluctant/adverse to; (usu. PREFDEF);"
"226","operu","cover (over); bury; overspread; shut/close; conceal; clothe, cover/hide the head"
"227","peper","bear; give birth to; beget, bring forth; produce, lay (eggs); create; acquire;"
"228","partiv","share, divide up, distribute;"
"229","parturiv","be in labor; bring forth; produce; be pregnant with/ready to give birth;"
"230","paviv","beat, strike; push down;"
"231","perciv","excite, stir up, move (emotions); set in motion, propel;"
"232","perfiniv","complete;"
"233","perfodiv","bore/dig/make hole/passage/channel/break in/through; dig/pierce/stab/perforate;"
"234","permuniv","fortify thoroughly, make very secure; finish constructing fortifications;"
"235","perpoliv","polish thoroughly; put the finishing touches to;"
"236","perven","come to; reach; arrive;"
"237","poeniv","punish (person/offense), inflict punishment; avenge, extract retribution;"
"238","poliv","smooth, polish; refine, give finish to;"
"239","praefiniv","fix the range of; determine;"
"240","praefuls","prop up; support; use as prop;"
"241","praemuniv","fortify, defend in advance; safeguard;"
"242","praepediv","shackle, fetter, tie by an extremity; hinder/obstruct/impede; entangle the feet;"
"243","praesaeps","block up/fence in front;"
"244","praesagiv","have presentiment (of); portend;"
"245","praesciv","foreknow; know in advance;"
"246","praesens","feel or perceive beforehand; have a presentiment of;"
"247","praeseps","block up/fence in front;"
"248","praeserviv","serve as slave;"
"249","praeven","arrive/occur/come first/before/too soon; precede; surpass; anticipate/forestall;"
"250","presigniv","ennoble; make famous;"
"251","prodiv","go/come forth/out, advance; appear; sprout/spring up; issue/extend/project;"
"252","prosens","see beforehand;"
"253","prosiliv","jump/leap up/forward; rush/leap/spring forth/to; gush/break/jut out;"
"254","prosilu","jump/leap up/forward; rush/leap/spring forth/to; gush/break/jut out;"
"255","proven","come forth; come into being; prosper;"
"256","puniv","punish (person/offense), inflict punishment; avenge, extract retribution;"
"257","redimiv","encircle with a garland, wreathe around; surround, encircle;"
"258","redormiv","go back to sleep, fall asleep again;"
"259","refers","fill up, stuff/cram full; pack close, condense, mass together;"
"260","remolliv","resoften; make soft again; weaken;"
"261","repper","discover, learn; light on; find/obtain/get; find out/to be, get to know; invent;"
"262","repper","discover, learn; light on; find/obtain/get; find out/to be, get to know; invent;"
"263","resars","restore, make good (loss); mend, repair (something damaged);"
"264","resars","restore, make good (loss); mend, repair (something damaged);"
"265","resilu","leap or spring back; recoil; rebound; shrink (back again);"
"266","reven","come back, return;"
"267","revinx","bind fast, fasten;"
"268","rugiv","bellow, roar;"
"269","saeps","surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"270","saeps","|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"271","saeviv","rage; rave, bluster; be/act angry/violent/ferocious; vent rage on (DAT);"
"272","saliv","salt, salt down, preserve with salt; sprinkle before sacrifice;"
"273","saliv","leap, jump; move suddenly/spasmodically (part of body under stress), twitch;"
"274","saliv","|spurt, discharge, be ejected under force (water/fluid); mount/cover (by stud);"
"275","salu","leap, jump; move suddenly/spasmodically (part of body under stress), twitch;"
"276","salu","|spurt, discharge, be ejected under force (water/fluid); mount/cover (by stud);"
"277","salliv","salt, salt down, preserve with salt; sprinkle before sacrifice;"
"278","sanx","confirm, ratify; sanction; fulfill (prophesy); enact (law); ordain; dedicate;"
"279","sars","make good; redeem; restore;"
"280","sariv","hoe; weed (crops); dig over (land);"
"281","sarriv","hoe; weed (crops); dig over (land); rake (L+S);"
"282","sarru","hoe; weed (crops); dig over (land);"
"283","sciv","know, understand;"
"284","sens","perceive, feel, experience; think, realize, see, understand;"
"285","sepeliv","bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
"286","sepiv","surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"287","sepiv","|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"288","seps","surround/envelop/enfold/encircle; clothe/cover/protect; close/seal off; shut in;"
"289","seps","|hedge/fence in, surround (w/hedge/wall/fence/barrier/troops); enclose; confine;"
"290","serviv","serve; be a slave to; with DAT;"
"291","sitiv","be thirsty;"
"292","sopiv","cause to sleep, render insensible by a blow or sudden shock;"
"293","stabiliv","make firm, establish;"
"294","subaudiv","understand, supply a word; hear a little;"
"295","subblandiv","flirt; caress a little;"
"296","subsens","smell/sniff out; perceive secretly;"
"297","subsilu","jump/leap/spring up; plunge beneath;"
"298","subven","come to help, assist; rescue;"
"299","suffiv","fumigate; perfume, scent;"
"300","suffuls","underprop, keep from falling;"
"301","summoniv","summon;"
"302","superbiv","show/have (too much) pride/disdain (to); be proud/gorgeous/superb/magnificent;"
"303","superven","come up, arrive;"
"304","tinniv","ring/clang/jangle (metal); ring (ears); utter a shrill/metallic sound;"
"305","transilu","jump across, leap over;"
"306","transven","come; come from another place or person;"
"307","univ","unite, combine into one;"
"308","vagiv","utter cries of distress, wail, squall;"
"309","ven","come;"
"310","vestiv","clothe;"
"311","vinx","bind, fetter; restrain;"
